date,scenario_count,plan_energy_kwh,plan_cost_yuan,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_initial_soc_kwh,dp_terminal_soc_kwh,dp_charge_kwh,dp_discharge_kwh,dp_unused_kwh,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_convexity_violation,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_unused_kwh,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-02-01,29,37730.7930644701,20158.93119175648,0.0,0.0,20158.93119175648,6000.0,1977.9765468653784,14512.654335328783,15375.071119437474,4215.033915245461,9.237055564881302e-13,1.1368683772161603e-13,2.9105606813573104e-12,0.0,0.0,20158.93119175648,6000.0,1977.9765468653784,14512.654335328785,15375.071119437476,4215.033915245461,0.0,9.094947017729282e-13
2025-02-02,30,88842.90140492805,56725.055503597316,0.0,0.0,56725.055503597316,1977.9765468653784,2299.0400823946084,21200.321731134136,16883.303420242344,6169.605144036268,1.0089706847793423e-12,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,56725.055503597316,1977.9765468653784,2299.0400823946084,21200.321731134143,16883.303420242344,6169.605144036261,0.0,9.094947017729282e-13
2025-02-03,30,84376.57976392796,53602.91664636113,0.0,0.0,53602.91664636113,2299.0400823946084,1611.8860346399783,22056.966514850395,18484.58152000799,587.2782690855634,9.983125437429408e-13,1.1368683772161603e-13,1.8189894035458565e-12,0.0,0.0,53602.91664636113,2299.0400823946084,1611.8860346399783,22056.966514850395,18484.58152000799,587.278269085562,0.0,9.094947017729282e-13
2025-02-04,30,85019.34133237842,53774.63177332767,806.1131432564496,4307.458530450942,58082.090303778605,1611.8860346399783,1255.1225470262782,22830.371527799412,18813.688076369857,613.9070742053168,9.983125437429408e-13,5.684341886080802e-14,2.9105606813573104e-12,806.1131432564486,5484.023335289716,59258.655108617386,1611.8860346399783,1255.1225470262782,22830.371527799412,18813.688076369857,613.9070742053148,0.0,9.094947017729282e-13
2025-02-05,30,85757.79705462567,54316.053126353436,222.07924206242478,1101.799780560381,55417.85290691382,1255.1225470262782,1615.186368969226,24012.127860410117,19125.766127183542,345.0875801281833,1.0125233984581428e-12,5.684341886080802e-14,1.8189894035458565e-12,222.0792420624241,1113.5447805603771,55429.59790691381,1255.1225470262782,1615.186368969226,24012.127860410117,19125.766127183542,345.08758012818294,0.0,9.094947017729282e-13
2025-02-06,30,85727.73550690024,54331.004631127915,18.070548783689333,105.48975877345407,54436.49438990137,1615.186368969226,1687.1920962060701,22917.868372946978,18498.668227573893,1055.5486936441882,9.2192919964873e-13,7.105427357601002e-15,2.9105606813573104e-12,18.07054878368797,105.48975877344611,54436.49438990136,1615.186368969226,1687.1920962060701,22917.868372946978,18498.6682275739,1055.5486936441887,0.0,9.094947017729282e-13
2025-02-07,30,40961.34187338564,21314.133285175783,0.0,0.0,21314.133285175783,1687.1920962060701,1979.3016303113984,19630.240640980734,15637.596338499603,5163.017904237839,9.769962616701378e-13,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,21314.133285175783,1687.1920962060701,1979.3016303113984,19630.240640980737,15637.596338499601,5163.0179042378395,0.0,9.094947017729282e-13
2025-02-08,30,37394.36895124106,19584.61880334046,0.0,0.0,19584.61880334046,1979.3016303113984,1582.6109241735548,18632.27748166921,15449.16639567612,2634.0951485812984,1.0231815394945443e-12,7.105427357601002e-15,2.9105606813573104e-12,0.0,0.0,19584.61880334046,1979.3016303113984,1582.6109241735548,18632.277481669214,15449.166395676124,2634.0951485812975,0.0,9.094947017729282e-13
2025-02-09,30,82608.02184387195,52181.6277483675,989.3426273865298,4901.5350426161485,57083.162790983646,1582.6109241735548,1322.32959897302,22434.762481746155,18406.41080289487,13.596825740507938,9.876544027065393e-13,1.1368683772161603e-13,2.183142555622908e-12,989.3426273865309,6793.975313691522,58975.603062059025,1582.6109241735548,1322.32959897302,22434.762481746155,18406.41080289486,13.596825740507711,0.0,8.881784197001252e-13
2025-02-10,30,83816.18929453313,52803.80176121382,0.0,0.0,52803.80176121382,1322.32959897302,1457.5449478164726,20962.62865759129,16858.03539868984,5384.9584522983505,1.0231815394945443e-12,5.684341886080802e-14,2.183142555622908e-12,0.0,0.0,52803.80176121382,1322.32959897302,1457.5449478164726,20962.62865759129,16858.03539868984,5384.958452298351,1.1368683772161603e-13,9.094947017729282e-13
2025-02-11,30,81073.6521390854,50833.17220066652,0.0,0.0,50833.17220066652,1457.5449478164726,1554.1861784495748,23127.83080097408,18646.565841219213,1371.7900459972107,1.0231815394945443e-12,1.1368683772161603e-13,2.9105606813573104e-12,0.0,0.0,50833.17220066652,1457.5449478164726,1554.1861784495748,23127.83080097408,18646.565841219213,1371.7900459972102,0.0,9.094947017729282e-13
2025-02-12,30,80250.74902118644,50378.41552754404,23.252613834236875,90.26664690450754,50468.68217444855,1554.1861784495748,1310.5235573891555,22527.896985275263,18466.892917027337,946.2614334394044,9.734435479913373e-13,5.684341886080802e-14,1.8189894035458565e-12,23.252613834236875,90.26664690450754,50468.68217444855,1554.1861784495748,1310.5235573891555,22527.896985275263,18466.892917027337,946.2614334394037,0.0,9.094947017729282e-13
2025-02-13,30,79919.40811765377,50199.92644809779,0.0,0.0,50199.92644809779,1310.5235573891555,1754.774466799533,21066.756914024292,16664.247281890337,4187.419468853158,1.0231815394945443e-12,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,50199.92644809779,1310.5235573891555,1754.774466799533,21066.756914024292,16664.24728189034,4187.419468853157,0.0,9.094947017729282e-13
2025-02-14,30,34856.372840572134,18144.135174073934,240.86479697926927,1356.200028783257,19500.33520285719,1754.774466799533,1367.0223426087923,18225.94733238206,15111.994251001137,2181.482739503814,9.600098493933729e-13,1.1368683772161603e-13,2.183142555622908e-12,240.86479697926927,1356.200028783257,19500.33520285719,1754.774466799533,1367.0223426087923,18225.947332382064,15111.994251001139,2181.4827395038146,0.0,8.952838470577262e-13
2025-02-15,30,35319.63116600033,18393.671860462935,418.36792009682057,1661.3420073026225,20055.013867765556,1367.0223426087923,1200.0,18312.697385850614,14983.60499088691,3128.815591133442,9.237055564881302e-13,2.842170943040401e-14,2.183142555622908e-12,403.6317655968193,1571.259894844115,19964.93175530705,1367.0223426087923,1200.0,18330.890169183946,14998.341145386912,3110.6228078001113,0.0,9.094947017729282e-13
2025-02-16,30,79642.46153624976,49571.10180944511,300.45794960113886,1731.6626291945634,51302.76443863967,1200.0,1258.5672279249875,22960.30225230055,18545.134319230958,150.37245278130274,9.201528428093297e-13,3.552713678800501e-15,1.4557244298885053e-12,300.45794960113864,1896.9598066564215,51468.06161610153,1200.0,1258.5672279249875,22960.302252300553,18545.134319230958,150.37245278130126,0.0,9.094947017729282e-13
2025-02-17,30,80772.7821380537,50364.03287581942,0.0,0.0,50364.03287581942,1258.5672279249875,1386.262040646897,19901.095906706723,16004.96235298273,5692.785417663055,1.0231815394945443e-12,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,50364.03287581942,1258.5672279249875,1386.262040646897,19901.09590670672,16004.962352982733,5692.785417663057,0.0,9.094947017729282e-13
2025-02-18,30,78194.2647597503,48528.74863159085,0.0,0.0,48528.74863159085,1386.262040646897,1728.0256544505658,21893.91318415507,17426.482426742303,1635.4462190042032,9.521272659185342e-13,1.1368683772161603e-13,2.9105606813573104e-12,0.0,0.0,48528.74863159085,1386.262040646897,1728.0256544505658,21893.91318415507,17426.482426742303,1635.4462190042013,0.0,9.094947017729282e-13
2025-02-19,30,77371.74370305883,48021.38666724097,653.1767783489597,2713.4371311514715,50734.82379839244,1728.0256544505658,1200.0,22774.664045078505,18922.7009655191,1293.6300185150499,1.0231815394945443e-12,1.1368683772161603e-13,1.4557244298885053e-12,653.1767783489598,2713.4371311514715,50734.82379839244,1728.0256544505658,1200.0,22774.664045078505,18922.7009655191,1293.6300185150485,0.0,9.094947017729282e-13
2025-02-20,30,78008.29299027365,48496.95927493018,0.05919986503010932,0.27729216780103205,48497.236567097985,1200.0,1893.3741969833422,22478.137017843386,17583.254207168135,2120.335646130079,1.0018652574217413e-12,1.1368683772161603e-13,2.9105606813573104e-12,0.0591998650294272,0.277292167797837,48497.23656709798,1200.0,1893.3741969833422,22478.137017843386,17583.25420716813,2120.335646130079,0.0,8.988365607365267e-13
2025-02-21,30,33915.5945079082,17651.024007438595,58.30880243633729,299.90806850958353,17950.932075948178,1893.3741969833422,1727.9309887030283,17459.041216474507,14290.722272796633,5245.3223333333335,9.947598300641403e-13,5.684341886080802e-14,2.9105606813573104e-12,58.30880243633733,322.74391889019785,17973.767926328794,1893.3741969833422,1727.9309887030283,17459.04121647451,14290.722272796631,5245.32233333333,0.0,8.339995360984176e-13
2025-02-22,30,33962.13944342985,17510.946202021005,269.67871323957814,1604.9615331318455,19115.90773515285,1727.9309887030283,1316.4443664725834,17602.21813769311,14628.134651538821,3412.9717871818066,9.159339953157541e-13,1.1368683772161603e-13,2.183142555622908e-12,260.74913823957854,1550.375041156848,19061.321243177852,1727.9309887030283,1316.4443664725834,17613.24230435978,14637.06422653882,3401.9476205151373,0.0,8.952838470577262e-13
2025-02-23,30,77634.22874983485,48301.00737361354,0.0,0.0,48301.00737361354,1316.4443664725834,1563.1065018886434,21862.278438058907,17486.44961295326,1726.5462413958746,1.0018652574217413e-12,1.4210854715202004e-14,2.183142555622908e-12,0.0,0.0,48301.00737361354,1316.4443664725834,1563.1065018886434,21862.278438058907,17486.449612953256,1726.5462413958744,0.0,9.023892744153272e-13
2025-02-24,30,76884.27412925,47743.83758135723,0.0,0.0,47743.83758135723,1563.1065018886434,1419.360362276705,19783.996066905962,16154.408339844575,5051.652785521971,9.85878045867139e-13,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,47743.83758135723,1563.1065018886434,1419.360362276705,19783.99606690596,16154.40833984457,5051.652785521972,0.0,9.094947017729282e-13
2025-02-25,30,75026.78297576922,46463.583136184854,6.097362571322378,26.703399381106358,46490.28653556596,1419.360362276705,1590.8407697053487,20287.064628076423,16278.189982056127,5202.682458986914,1.0231815394945443e-12,1.1368683772161603e-13,1.8189894035458565e-12,6.097362571322492,26.703399381106856,46490.28653556596,1419.360362276705,1590.8407697053487,20287.064628076427,16278.189982056121,5202.682458986913,0.0,9.094947017729282e-13
2025-02-26,30,71715.28979439044,44345.28030163476,952.2988873315816,5142.139504634093,49487.41980626885,1590.8407697053487,1473.051426075913,20822.309644504883,16972.08122131545,2.512225199257273,1.0107470416187425e-12,1.1368683772161603e-13,2.183142555622908e-12,952.2988873315823,6513.594887717142,50858.8751893519,1590.8407697053487,1473.051426075913,20822.30964450488,16972.081221315446,2.5122251992570455,0.0,9.094947017729282e-13
2025-02-27,30,72772.43435347463,44894.89863228917,664.4789686612912,3210.4063318655953,48105.30496415477,1473.051426075913,1825.1257219370696,23060.91786702086,18362.476606011856,1781.8878611269183,9.237055564881302e-13,7.105427357601002e-15,2.9105606813573104e-12,664.4789686612912,3210.4063318655953,48105.30496415477,1473.051426075913,1825.1257219370696,23060.917867020864,18362.476606011864,1781.8878611269151,0.0,9.094947017729282e-13
2025-02-28,30,33110.304998237756,17192.970138957087,0.0,0.0,17192.970138957087,1825.1257219370696,1749.9614262589596,17048.60711724278,13877.01963107695,6646.123962071928,1.0231815394945443e-12,5.684341886080802e-14,1.4557244298885053e-12,0.0,0.0,17192.970138957087,1825.1257219370696,1749.9614262589596,17048.60711724278,13877.019631076952,6646.123962071931,0.0,8.304468224196171e-13
2025-03-01,30,32844.13037125164,17055.31124804454,42.9597566455372,185.0387755729043,17240.350023617444,1749.9614262589596,1200.0,16160.585248455563,13585.03933488207,6652.778280990351,7.958078640513122e-13,5.684341886080802e-14,1.4557244298885053e-12,42.9597566455372,185.0387755729043,17240.350023617444,1749.9614262589596,1200.0,16160.585248455567,13585.039334882069,6652.77828099035,0.0,8.810729923425242e-13
2025-03-02,30,76091.64164616354,47282.023312784426,2740.2907186248713,14126.062138545798,61408.085451330226,1200.0,1299.0504098677577,19157.14119076313,15428.138995637155,2744.6231029957776,1.0231815394945443e-12,5.684341886080802e-14,2.183142555622908e-12,1786.4682250483536,12085.09351235825,59367.11682514267,1200.0,1299.0504098677577,20334.699824808213,16381.96148921367,1567.0644689506967,0.0,8.846257060213247e-13
2025-03-03,30,77094.03604490258,47794.99663474061,107.1554655090149,440.9961508427733,48235.99278558338,1299.0504098677577,1308.9674154298423,23680.667326234987,19172.415229244463,675.7927800877442,1.0231815394945443e-12,5.684341886080802e-14,2.9105606813573104e-12,11.662024701191445,24.542730983657393,47819.53936572427,1299.0504098677577,1308.9674154298423,23798.56046303477,19267.90867005229,557.8996432879646,0.0,9.094947017729282e-13
2025-03-04,30,77924.02758793329,48528.28387374028,0.0,0.0,48528.28387374028,1308.9674154298423,1686.1200303851124,20991.11804875632,16663.36826603288,4396.81987187652,9.343636975245317e-13,1.1368683772161603e-13,1.8189894035458565e-12,0.0,0.0,48528.28387374028,1308.9674154298423,1686.1200303851124,20991.11804875632,16663.368266032878,4396.819871876521,0.0,9.094947017729282e-13
2025-03-05,30,76098.6398015627,47157.40846821433,0.0,0.0,47157.40846821433,1686.1200303851124,1701.5193395919318,20056.594238524925,16231.981954919052,6143.555501290159,9.85211912052364e-13,5.684341886080802e-14,2.9105606813573104e-12,0.0,0.0,47157.40846821433,1686.1200303851124,1701.5193395919318,20056.594238524922,16231.981954919054,6143.555501290159,0.0,9.094947017729282e-13
