date,scenario_count,plan_energy_kwh,plan_cost_yuan,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_initial_soc_kwh,dp_terminal_soc_kwh,dp_charge_kwh,dp_discharge_kwh,dp_unused_kwh,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_convexity_violation,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_unused_kwh,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-02-01,29,46658.547602214734,23911.83046659355,0.0,0.0,23911.83046659355,6000.0,10035.365317405041,23215.285416258783,15172.552401505076,4237.638654127693,9.237055564881302e-13,1.1368683772161603e-13,2.9105606813573104e-12,0.0,0.0,23911.83046659355,6000.0,10035.365317405041,23215.285416258783,15172.552401505076,4237.638654127691,0.0,9.094947017729282e-13
2025-02-02,30,89014.48871424736,56742.025197507166,0.0,0.0,56742.025197507166,10035.365317405041,10461.434811766941,21272.439423177253,16847.213387847863,6232.984728917971,9.094947017729282e-13,1.1368683772161603e-13,2.9105606813573104e-12,0.0,0.0,56742.025197507166,10035.365317405041,10461.434811766941,21272.439423177253,16847.213387847863,6232.984728917966,0.0,8.633094239485217e-13
2025-02-03,30,84470.13840407736,53582.24085287055,0.0,0.0,53582.24085287055,10461.434811766941,9803.201246120687,22538.97073383379,18848.976503487,563.2276737305767,9.592326932761353e-13,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,53582.24085287055,10461.434811766941,9803.201246120687,22538.97073383379,18848.976503487007,563.2276737305741,0.0,9.094947017729282e-13
2025-02-04,30,84993.37781206948,53713.48513548878,788.000228990697,4204.158317525385,57917.64345301416,9803.201246120687,9425.10648033316,22789.827803596876,18800.045810122247,596.7320975855523,1.0231815394945443e-12,5.684341886080802e-14,1.8189894035458565e-12,788.000228990697,5361.860785024354,59075.34592051314,9803.201246120687,9425.10648033316,22789.82780359688,18800.045810122247,596.7320975855507,0.0,9.094947017729282e-13
2025-02-05,30,85742.22397713142,54264.62687962953,237.2458351204942,1174.2126791161336,55438.83955874567,9425.10648033316,9872.727101831868,24015.697383894243,19049.8563216055,265.2017666298444,1.0089706847793423e-12,5.684341886080802e-14,2.183142555622908e-12,237.24583512049352,1185.9576791161296,55450.584558745664,9425.10648033316,9872.727101831868,24015.697383894243,19049.856321605497,265.2017666298441,0.0,9.094947017729282e-13
2025-02-06,30,85662.28025119627,54255.394067050074,18.070548783689333,105.48975877345407,54360.88382582353,9872.727101831868,9929.602291592988,22948.296522172313,18536.932512174568,997.9295733155469,9.485745522397337e-13,7.105427357601002e-15,2.9105606813573104e-12,18.07054878368797,105.48975877344611,54360.88382582352,9872.727101831868,9929.602291592988,22948.296522172313,18536.93251217457,997.9295733155471,0.0,8.526512829121202e-13
2025-02-07,30,40961.20888122152,21259.965095949494,0.0,0.0,21259.965095949494,9929.602291592988,10198.038162870485,19657.134823843844,15680.686923163767,5179.081313874772,1.0089706847793423e-12,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,21259.965095949494,9929.602291592988,10198.038162870485,19657.13482384385,15680.686923163763,5179.081313874771,0.0,9.094947017729282e-13
2025-02-08,30,37654.3760698033,19644.198291026747,0.0,0.0,19644.198291026747,10198.038162870485,9823.766404269256,18975.972640229964,15707.382421327378,2808.6231342340457,1.0231815394945443e-12,1.7763568394002505e-15,2.183142555622908e-12,0.0,0.0,19644.198291026747,10198.038162870485,9823.766404269256,18975.972640229968,15707.382421327375,2808.6231342340443,0.0,9.094947017729282e-13
2025-02-09,30,82631.95468798216,52131.19916518814,941.8730274525055,4662.72274725575,56793.92191244389,9823.766404269256,9552.669307521723,22429.716819624813,18412.05801096888,0.7529401120646071,9.876544027065393e-13,1.1368683772161603e-13,2.9105606813573104e-12,941.8730274525066,6474.575911587838,58605.77507677598,9823.766404269256,9552.669307521723,22429.71681962482,18412.05801096888,0.7529401120644934,0.0,8.881784197001252e-13
2025-02-10,30,83754.10275629433,52721.840890643834,0.0,0.0,52721.840890643834,9552.669307521723,9740.920496042234,20870.432358876118,16735.624141021195,5292.656955106077,9.841016890277388e-13,5.684341886080802e-14,2.183142555622908e-12,0.0,0.0,52721.840890643834,9552.669307521723,9740.920496042234,20870.43235887612,16735.6241410212,5292.6569551060775,0.0,9.094947017729282e-13
2025-02-11,30,81052.71521272963,50771.2164592317,0.0,0.0,50771.2164592317,9740.920496042234,9862.54619359356,23164.75512207971,18653.988521088373,1321.351478404958,9.983125437429408e-13,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,50771.2164592317,9740.920496042234,9862.54619359356,23164.755122079707,18653.988521088373,1321.3514784049569,0.0,9.094947017729282e-13
2025-02-12,30,80194.51125142467,50313.9143395947,42.94515572213561,178.5555743729614,50492.46991396767,9862.54619359356,9548.856865883432,22608.345958397033,18595.08062124071,957.454936657161,8.335554468885675e-13,5.684341886080802e-14,2.183142555622908e-12,42.94515572213561,178.5555743729614,50492.46991396767,9862.54619359356,9548.856865883432,22608.345958397033,18595.08062124071,957.4549366571584,0.0,9.094947017729282e-13
2025-02-13,30,79950.61282731415,50156.4177874432,0.0,0.0,50156.4177874432,9548.856865883432,10060.087676990968,21230.612516466597,16736.688408341164,4127.209702522039,1.0231815394945443e-12,1.1368683772161603e-13,2.9096725029376103e-12,0.0,0.0,50156.4177874432,9548.856865883432,10060.087676990968,21230.6125164666,16736.68840834116,4127.209702522037,0.0,9.094947017729282e-13
2025-02-14,30,35330.60085407627,18410.336177454454,53.485177760775045,290.33134469018273,18700.667522144635,10060.087676990968,9625.857081900538,20170.832109219817,16729.18154404944,2140.633649999999,9.600098493933729e-13,1.1368683772161603e-13,1.8189894035458565e-12,53.485177760775045,290.33134469018273,18700.667522144635,10060.087676990968,9625.857081900538,20170.832109219817,16729.181544049443,2140.63365,0.0,8.739675649849232e-13
2025-02-15,30,35795.296061561094,18670.13211344257,75.49190652250093,347.309911154044,19017.442024596614,9625.857081900538,9354.334930171919,19481.503317909228,16024.387624062234,3133.581174236596,9.876544027065393e-13,5.684341886080802e-14,1.8189894035458565e-12,60.755752022498044,278.26365924428046,18948.39577268685,9625.857081900538,9354.334930171919,19499.69610124256,16039.123778562236,3115.3883909032656,0.0,9.094947017729282e-13
2025-02-16,30,79753.00488663148,49549.27024240233,301.7464225813329,1711.1928271639422,51260.46306956627,9354.334930171919,9557.49673522144,22896.11217304956,18363.005235625576,144.26527178882793,9.734435479913373e-13,7.105427357601002e-15,2.183142555622908e-12,301.7464225813311,1904.6109665540575,51453.88120895639,9354.334930171919,9557.49673522144,22896.112173049565,18363.00523562558,144.2652717888285,0.0,9.094947017729282e-13
2025-02-17,30,80724.91133582089,50278.98983265794,0.0,0.0,50278.98983265794,9557.49673522144,9722.415229147393,19910.681951946848,15979.22573654359,5609.591953750956,9.947598300641403e-13,1.1368683772161603e-13,1.8189894035458565e-12,0.0,0.0,50278.98983265794,9557.49673522144,9722.415229147393,19910.681951946848,15979.225736543585,5609.591953750956,0.0,9.094947017729282e-13
2025-02-18,30,78141.57855814733,48441.62847413693,0.0,0.0,48441.62847413693,9722.415229147393,10091.82564348213,22057.92089505387,17534.44655209237,1526.7164318524897,9.876544027065393e-13,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,48441.62847413693,9722.415229147393,10091.82564348213,22057.920895053867,17534.446552092362,1526.716431852489,0.0,9.094947017729282e-13
2025-02-19,30,77349.64625570727,47951.08467806474,558.2006247866179,2693.2268976356354,50644.311575700376,10091.82564348213,9384.943867749156,22949.341787622558,19225.160446133952,1304.3381556719464,1.0089706847793423e-12,1.1368683772161603e-13,2.183142555622908e-12,558.200624786618,2693.226897635636,50644.311575700376,10091.82564348213,9384.943867749156,22949.34178762256,19225.160446133952,1304.3381556719448,0.0,9.094947017729282e-13
2025-02-20,30,78123.17199767393,48502.172493304985,0.05919986503010932,0.27729216780103205,48502.44978547279,9384.943867749156,10217.481444837184,22530.831958858587,17500.690067296233,2099.9555726432604,1.0089706847793423e-12,1.1368683772161603e-13,2.183142555622908e-12,0.0591998650294272,0.277292167797837,48502.44978547278,9384.943867749156,10217.481444837184,22530.831958858587,17500.69006729623,2099.9555726432604,0.0,9.094947017729282e-13
2025-02-21,30,34397.501167769224,17851.205380106756,53.40389099939458,278.81694933072987,18130.022329437485,10217.481444837184,10030.428820239958,20071.937127576093,16426.61643547414,5245.3223333333335,9.947598300641403e-13,5.684341886080802e-14,2.9105606813573104e-12,53.40389099939462,294.091878731297,18145.297258838054,10217.481444837184,10030.428820239958,20071.937127576093,16426.616435474134,5245.32233333333,0.0,9.094947017729282e-13
2025-02-22,30,34316.0201948537,17631.936488056428,250.1428813696979,1529.1234338129632,19161.05992186939,10030.428820239958,9494.732165514202,19836.365677668313,16549.583188164514,3434.6177033862728,9.159339953157541e-13,1.1368683772161603e-13,1.4557244298885053e-12,241.21330636969833,1474.5369418379657,19106.473429894395,10030.428820239958,9494.732165514202,19847.38984433498,16558.512763164523,3423.5935367196034,0.0,8.952838470577262e-13
2025-02-23,30,77731.88954345831,48303.45187196629,0.0,0.0,48303.45187196629,9494.732165514202,9922.418825363611,21931.837665667234,17379.870515325987,1648.0687097837285,9.094947017729282e-13,1.4210854715202004e-14,2.1822543772032077e-12,0.0,0.0,48303.45187196629,9494.732165514202,9922.418825363611,21931.837665667234,17379.870515325987,1648.0687097837276,0.0,8.881784197001252e-13
2025-02-24,30,76807.75455326315,47684.49668060322,0.0,0.0,47684.49668060322,9922.418825363611,9685.753948630283,19754.8119402299,16214.396060646215,5064.305057012798,9.592326932761353e-13,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,47684.49668060322,9922.418825363611,9685.753948630283,19754.8119402299,16214.39606064621,5064.305057012799,0.0,9.094947017729282e-13
