date,t,source_right_end_label,physical_interval,price_yuan_per_kwh,actual_load_kwh,actual_pv_kwh,forecast_load_kwh,forecast_pv_kwh,plan_grid_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_end_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_emergency_kwh,analytical_unused_kwh,analytical_end_soc_kwh
2025-02-01,1,00:10,0:00-0:10,0.4248,422.0303666666667,0.0,435.96965853203966,0.0,1238.1322871989819,816.101920532315,0.0,0.0,0.0,6734.491728479084,816.1019205323153,0.0,0.0,0.0,6734.491728479084
2025-02-01,2,00:20,0:10-0:20,0.4245,415.4073166666667,0.0,464.32108434849977,0.0,1275.9660067755976,833.3333333333333,0.0,0.0,27.225356775597675,7484.491728479084,833.3333333333334,0.0,0.0,27.22535677559756,7484.491728479084
2025-02-01,3,00:30,0:20-0:30,0.4269,410.7166666666667,0.0,487.63258048168404,0.0,1272.5647362577877,833.3333333333323,0.0,0.0,28.514736257788627,8234.491728479083,833.3333333333334,0.0,0.0,28.514736257787604,8234.491728479083
2025-02-01,4,00:40,0:30-0:40,0.4272,430.29479999999995,0.0,461.39861013457227,0.0,1254.6056735110074,824.3108735110076,0.0,0.0,0.0,8976.37151463899,824.3108735110075,0.0,0.0,0.0,8976.37151463899
2025-02-01,5,00:50,0:40-0:50,0.4271,424.4105833333333,0.0,450.6391780161755,0.0,1232.327091582607,807.9165082492727,0.0,0.0,0.0,9703.496372063335,807.9165082492736,0.0,0.0,0.0,9703.496372063335
2025-02-01,6,01:00,0:50-1:00,0.4285,406.0516666666666,0.0,467.8274089685731,0.0,487.8543207332789,81.80265406661218,0.0,0.0,0.0,9777.118760723286,81.80265406661226,0.0,0.0,0.0,9777.118760723286
2025-02-01,7,01:10,1:00-1:10,0.4311,436.7501833333333,0.0,461.3105003646568,0.0,470.2138813928553,33.46369805952135,0.0,0.0,0.0,9807.236088976855,33.46369805952196,0.0,0.0,0.0,9807.236088976855
2025-02-01,8,01:20,1:10-1:20,0.4302,451.7976833333333,0.0,443.8641151511249,0.0,449.542963158057,0.0,2.254720175276816,0.0,0.0,9804.730844337659,0.0,2.2547201752763044,0.0,0.0,9804.730844337659
2025-02-01,9,01:30,1:20-1:30,0.4279,446.08,0.0,450.69991503123345,0.0,467.452477655247,21.372477655246865,0.0,0.0,0.0,9823.96607422738,21.372477655246996,0.0,0.0,0.0,9823.96607422738
2025-02-01,10,01:40,1:30-1:40,0.4312,471.7663333333333,0.0,497.431475286157,0.0,513.2710199799405,41.5046866466077,0.0,0.0,0.0,9861.320292209328,41.50468664660724,0.0,0.0,0.0,9861.320292209328
2025-02-01,11,01:50,1:40-1:50,0.4333,448.02596666666665,0.0,503.91547863332806,0.0,523.6241711098164,75.59820444315038,0.0,0.0,0.0,9929.358676208163,75.59820444314977,0.0,0.0,0.0,9929.358676208163
2025-02-01,12,02:00,1:50-2:00,0.4311,397.4033333333333,0.0,466.7047385965242,0.0,474.03140735328805,76.62807401995451,0.0,0.0,0.0,9998.323942826122,76.62807401995474,0.0,0.0,0.0,9998.323942826122
2025-02-01,13,02:10,2:00-2:10,0.4293,434.0906333333333,0.0,461.5623850584386,0.0,495.38694212419,61.29630879085703,0.0,0.0,0.0,10053.490620737894,61.2963087908567,0.0,0.0,0.0,10053.490620737894
2025-02-01,14,02:20,2:10-2:20,0.4324,490.5609166666666,0.0,478.7131942466842,0.0,516.2136624153809,25.652745748714853,0.0,0.0,0.0,10076.578091911737,25.652745748714267,0.0,0.0,0.0,10076.578091911737
