target_date,initial_soc_kwh,objective_value,plan_energy_kwh,plan_cost_yuan,scenario_count,status,solve_seconds,highs_objective,highs_max_primal_infeasibility,highs_num_primal_infeasibilities,simplex_iterations,ipm_iterations,mip_gap,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,purpose
2025-02-01,6000.0,19751.634721188402,46658.547602214734,23911.83046659355,29,Optimal,0.4301823999994667,19751.634721188406,0.0,0,11606,0,,False,False,1.1368683772161603e-13,3.581135388230905e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,642.3539042343359,formal_output
2025-02-02,10035.365317405041,52612.11918313679,89014.48871424736,56742.025197507166,30,Optimal,0.8822851000004448,52612.11918313683,0.0,0,14395,0,,False,False,1.1368683772161603e-13,2.7853275241795927e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-03,10461.434811766941,49475.10669280313,84470.13840407736,53582.24085287055,30,Optimal,0.7739124000072479,49475.10669280319,4.547473508864641e-13,0,12967,0,,False,False,8.753886504564434e-12,4.419575816427823e-12,0.0,0.0,1199.9999999999995,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-04,9803.201246120687,49562.09984579664,84993.37781206948,53713.48513548878,30,Optimal,0.8031540999945719,49562.09984579665,0.0,0,13804,0,,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-05,9425.10648033316,50121.70944230887,85742.22397713142,54264.62687962953,30,Optimal,0.8092715999955544,50121.709442308886,0.0,0,14779,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-06,9872.727101831868,50118.98643954873,85662.28025119627,54255.394067050074,30,Optimal,0.9079976999928476,50118.98643954871,0.0,0,14638,0,,False,False,1.1368683772161603e-13,5.844214001626824e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-07,9929.602291592988,16979.201815656754,40961.20888122152,21259.965095949494,30,Optimal,0.4068722000083653,16979.201815656736,0.0,0,11113,0,,False,False,1.1368683772161603e-13,2.5011104298755527e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-08,10198.038162870485,15172.087174143873,37654.3760698033,19644.198291026747,30,Optimal,0.33487350000359584,15172.087174143879,7.275957614183426e-12,0,11100,0,,False,False,1.057287590811029e-11,1.9806378759312793e-11,0.0,-7.275957614183426e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-09,9823.766404269256,48021.16987321158,82631.95468798216,52131.19916518814,30,Optimal,0.8117741999885766,48021.16987321156,0.0,0,12887,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-10,9552.669307521723,48582.19513578795,83754.10275629433,52721.840890643834,30,Optimal,0.931126099996618,48582.19513578795,0.0,0,14753,0,,False,False,1.1368683772161603e-13,2.2239987629291136e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
