date,dp_emergency_cost_yuan,ana_emergency_cost_yuan,dp_emergency_energy_kwh,ana_emergency_energy_kwh,dp_max_balance_residual_kwh,ana_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_soc_residual_kwh,dp_total_cost_yuan,ana_total_cost_yuan
2025-02-01,5.317202611543337e-11,0.0,0.0,0.0,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,24022.487902408237,24022.487902408182
2025-02-02,5.041101203140386e-11,0.0,0.0,0.0,9.71667191151937e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,56618.915538921996,56618.915538921945
2025-02-03,8.723399989862823e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,53965.985262462826,53965.98526246274
2025-02-04,276.0678527235191,0.0,46.81812426851036,0.0,9.592326932761353e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,55182.33699352994,54906.26914080642
2025-02-05,506.3581961908743,736.6799585297229,99.23972649016794,146.05785075867772,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,54893.06574154679,55123.387503885635
2025-02-06,122.98032063341617,122.98032063333329,21.05286666666734,21.05286666666666,1.0231815394945443e-12,0.0,3.552713678800501e-15,9.094947017729282e-13,54845.87952011279,54845.8795201127
2025-02-07,5.32323412849589e-11,0.0,0.0,0.0,9.983125437429408e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,21390.676708308445,21390.67670830839
2025-02-08,7.845642435722056e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.4210854715202004e-14,9.094947017729282e-13,19360.894420993172,19360.894420993092
2025-02-09,1583.9343176150885,2285.875817800453,336.9988832388929,336.99888323889337,9.734435479913373e-13,0.0,1.1368683772161603e-13,8.739675649849232e-13,54242.57863298269,54944.52013316805
2025-02-10,6.018786891104354e-11,0.0,0.0,0.0,9.978684545330907e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,52328.63317785146,52328.6331778514
2025-02-11,26.3507272357147,26.35072723564257,5.6256889913846635,5.625688991383981,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,50924.10471692897,50924.104716928894
2025-02-12,8.109893978591742e-11,0.0,0.0,0.0,9.841016890277388e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,50556.11913268743,50556.11913268735
2025-02-13,5.837410144149401e-11,0.0,0.0,0.0,8.597567102697212e-13,0.0,1.1368683772161603e-13,8.846257060213247e-13,49760.86495914592,49760.86495914586
2025-02-14,31.264820142006275,31.264820141947226,5.763631697289561,5.763631697289561,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,18651.772751844983,18651.772751844925
2025-02-15,407.4950673969785,153.1875580297938,89.47060877208284,35.83579277208089,9.379164112033322e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,19103.876050988034,18849.568541620847
2025-02-16,532.0192699308822,229.46343018904662,114.92917316902258,55.00078344735434,9.85878045867139e-13,0.0,7.105427357601002e-15,8.86402062860725e-13,50749.021777735914,50446.46593799408
2025-02-17,6.057058232755708e-11,0.0,0.0,0.0,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,50204.318387919666,50204.31838791961
2025-02-18,8.203854928723332e-11,0.0,0.0,0.0,9.876544027065393e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,47828.34972771936,47828.34972771928
2025-02-19,3001.6464738261793,3003.58382961778,624.1147903741987,624.1147903741988,9.727774141765622e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,50675.31529288512,50677.252648676724
2025-02-20,18.913247180459855,18.913247180387323,4.0378409864198375,4.037840986419155,9.841016890277388e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,48239.21315766035,48239.21315766028
2025-02-21,4.6341813386696634e-11,0.0,0.0,0.0,7.958078640513122e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,17835.480655373078,17835.48065537303
2025-02-22,6.809132135909835e-11,0.0,0.0,0.0,9.094947017729282e-13,0.0,1.1368683772161603e-13,8.952838470577262e-13,18169.673389205847,18169.67338920578
2025-02-23,6.64838846198279e-11,0.0,0.0,0.0,9.734435479913373e-13,0.0,1.4210854715202004e-14,8.775202786637237e-13,47986.150677891965,47986.1506778919
2025-02-24,4.5864158249031564e-11,0.0,0.0,0.0,9.343636975245317e-13,0.0,1.1368683772161603e-13,8.846257060213247e-13,47267.988407938574,47267.98840793853
2025-02-25,30.288771466762963,30.28877146669918,6.916034128713022,6.916034128713136,9.592326932761353e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,46357.51689925345,46357.516899253395
2025-02-26,3021.746264615829,4112.354266021727,673.7949271607873,598.5837438056824,9.725553695716371e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,48217.24960385277,49307.857605258665
2025-02-27,3428.3543574138944,3669.1295972923654,709.4167058877288,759.0610852441304,9.805489753489383e-13,0.0,7.105427357601002e-15,9.094947017729282e-13,47896.69802390798,48137.47326378645
2025-02-28,6.089915616236397e-11,0.0,0.0,0.0,9.663381206337363e-13,0.0,5.684341886080802e-14,8.846257060213247e-13,17416.4289703264,17416.42897032634
2025-03-01,5.741430442185446e-11,0.0,0.0,0.0,9.663381206337363e-13,0.0,5.684341886080802e-14,8.846257060213247e-13,17434.10526025987,17434.10526025981
2025-03-02,6721.366672249826,3860.653030028573,1328.0519931501458,571.2706667294948,9.97923965684322e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,54947.878065326884,52087.164423105634
2025-03-03,508.14994147798814,45.96866402974744,112.88415627478783,11.841489961295064,9.841016890277388e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,48262.20921277452,47800.027935326274
2025-03-04,4.5606564524902636e-11,0.0,0.0,0.0,9.343636975245317e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,47987.4091107189,47987.40911071886
2025-03-05,6.391878404343742e-11,0.0,0.0,0.0,9.983125437429408e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,46423.989007212054,46423.98900721199
2025-03-06,7.736227969346032e-11,0.0,0.0,0.0,1.0107470416187425e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,44659.78528031186,44659.78528031178
2025-03-07,5.0098996146052957e-11,0.0,0.0,0.0,9.85878045867139e-13,0.0,5.684341886080802e-14,8.952838470577262e-13,16917.719005956325,16917.719005956274
2025-03-08,296.1004815685287,320.11761533479995,71.08705962243401,71.08705962243411,9.414691248821327e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,16695.380324004112,16719.39745777038
2025-03-09,5.821847715026252e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,43095.27331813547,43095.27331813541
2025-03-10,3237.275870891532,3933.8571097648746,645.1735598367203,591.3549468943316,9.734435479913373e-13,0.0,5.684341886080802e-14,8.757439218243235e-13,48882.385736690056,49578.966975563395
2025-03-11,7.789934117208297e-11,0.0,0.0,0.0,9.734435479913373e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,43707.73967195153,43707.73967195145
2025-03-12,4.592891483801154e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,42462.008346855466,42462.00834685542
2025-03-13,4079.224128219106,5328.89917428268,813.3517407973161,813.3517407973137,9.983125437429408e-13,0.0,3.552713678800501e-15,9.094947017729282e-13,49178.065851801424,50427.740897865006
2025-03-14,3.744026755292396e-11,0.0,0.0,0.0,9.663381206337363e-13,0.0,5.684341886080802e-14,8.189005029635155e-13,16103.451616069053,16103.451616069015
2025-03-15,1255.4371958200359,1255.4371958200009,311.6499736136529,311.6499736136529,9.032774528350274e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,17128.171681031694,17128.171681031657
2025-03-16,7.803717794185871e-11,0.0,0.0,0.0,9.734435479913373e-13,0.0,7.105427357601002e-15,8.841816168114747e-13,43564.79527831874,43564.79527831866
2025-03-17,7.888102571129707e-11,0.0,0.0,0.0,9.2192919964873e-13,0.0,5.684341886080802e-14,8.842926391139372e-13,41326.02584769905,41326.02584769897
2025-03-18,422.4678473140372,422.46784731398503,85.73761360936044,85.73761360936044,1.0089706847793423e-12,0.0,2.842170943040401e-14,9.094947017729282e-13,41045.771902097935,41045.771902097884
2025-03-19,6.945723116449921e-11,0.0,0.0,0.0,9.983125437429408e-13,0.0,1.1368683772161603e-13,8.970602038971265e-13,39824.08253197024,39824.08253197017
2025-03-20,3450.7306474671095,4919.849802906086,717.9780422745455,717.9780422745464,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,44197.84597567293,45666.9651311119
2025-03-21,113.13994334266613,113.13994334263384,29.60228763543533,29.60228763543533,9.601208716958354e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,15843.38621000784,15843.386210007808
2025-03-22,4.723389723793047e-11,0.0,0.0,0.0,8.526512829121202e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,15480.396583740763,15480.396583740716
2025-03-23,5.2608454259583945e-11,0.0,0.0,0.0,9.450218385609332e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,40465.84178431032,40465.84178431027
2025-03-24,7.183914058073172e-11,0.0,0.0,0.0,9.725553695716371e-13,0.0,1.1368683772161603e-13,8.846257060213247e-13,39452.463853225665,39452.46385322559
2025-03-25,45.343362595294494,45.34336259521371,9.67737970231858,9.67737970231858,1.0231815394945443e-12,0.0,1.4210854715202004e-14,9.094947017729282e-13,39689.229425151796,39689.229425151716
2025-03-26,5.370493817713484e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,39586.60806097436,39586.60806097431
2025-03-27,7.13561252307926e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,38517.89492152338,38517.89492152331
2025-03-28,2.750694205744253e-11,0.0,0.0,0.0,9.414691248821327e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,15143.731966126748,15143.731966126721
2025-03-29,48.63728109686678,48.637281096821,10.297133013754262,10.297133013754262,7.958078640513122e-13,0.0,2.842170943040401e-14,9.094947017729282e-13,14999.194160745303,14999.194160745257
2025-03-30,6.503123128887011e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,37361.24809871803,37361.248098717966
2025-03-31,1058.7130089182851,290.37525517214726,241.45462466357677,60.096645491569305,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,38254.75607915559,37486.41832540945
2025-04-01,2679.1126724464557,4788.919152678863,508.1535415034631,689.5115206754676,9.805489753489383e-13,0.0,2.842170943040401e-14,9.094947017729282e-13,41861.94631577264,43971.75279600505
2025-04-02,7114.015599489947,7109.907099489892,1433.1879651322902,1433.1879651322902,1.0107470416187425e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,45602.72061304247,45598.612113042414
2025-04-03,5.2287330465361497e-11,0.0,0.0,0.0,9.450218385609332e-13,0.0,1.1368683772161603e-13,8.846257060213247e-13,39309.83632356964,39309.83632356959
2025-04-04,4.0675575352366876e-11,0.0,0.0,0.0,7.958078640513122e-13,0.0,2.842170943040401e-14,9.094947017729282e-13,14506.921126908719,14506.921126908679
2025-04-05,2748.903042437169,0.0,562.2822585799228,0.0,9.663381206337363e-13,0.0,5.684341886080802e-14,8.952838470577262e-13,17767.42025203554,15018.51720959837
2025-04-06,5.4662642412495186e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,3.552713678800501e-15,9.094947017729282e-13,37468.69487334747,37468.69487334741
2025-04-07,7.873035684502483e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,36062.903274770266,36062.903274770186
2025-04-08,954.4894917728332,956.0210839842847,157.53318917142113,157.53318917142101,9.308109838457312e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,37549.25494916682,37550.78654137827
2025-04-09,2049.676852657589,3007.8763513260083,460.3257013057755,434.38962201529006,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,41607.36018941275,42565.559688081164
2025-04-10,5.6928636249509175e-11,0.0,0.0,0.0,9.841016890277388e-13,0.0,2.842170943040401e-14,9.094947017729282e-13,37850.20118248558,37850.20118248552
2025-04-11,3.6391158642068435e-11,0.0,0.0,0.0,9.094947017729282e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,14255.384533356066,14255.38453335603
2025-04-12,4.304718803638252e-11,0.0,0.0,0.0,1.0107470416187425e-12,0.0,2.842170943040401e-14,9.094947017729282e-13,14166.526008504074,14166.52600850403
2025-04-13,7.284466696511061e-11,0.0,0.0,0.0,9.734435479913373e-13,0.0,5.684341886080802e-14,8.881784197001252e-13,35241.02114331055,35241.02114331048
2025-04-14,4.417833165959451e-11,0.0,0.0,0.0,9.725553695716371e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,35528.47857489086,35528.47857489082
2025-04-15,31.103013805217007,31.10301380513327,8.012110717448035,8.012110717448035,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,34863.7465442043,34863.74654420422
2025-04-16,1609.6957043380921,1804.8597612953574,355.98104175146005,267.01992332136166,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,38726.654869339414,38921.818926296684
2025-04-17,7.941866847493984e-11,0.0,0.0,0.0,9.978684545330907e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,35377.01262749183,35377.01262749175
2025-04-18,2.429603207509956e-11,0.0,0.0,0.0,7.958078640513122e-13,0.0,2.842170943040401e-14,9.094947017729282e-13,13584.267886370884,13584.26788637086
2025-04-19,3.831155215294757e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,13087.787934354823,13087.787934354785
2025-04-20,6.848248901292209e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,34418.07223668298,34418.072236682914
2025-04-21,371.7272397545937,371.72723975453846,82.3197400849734,82.3197400849734,8.57980353430321e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,34425.79079613698,34425.79079613692
2025-04-22,1416.0728200019062,1922.474184484031,400.0947989958648,304.0848270268019,9.983125437429408e-13,0.0,1.1368683772161603e-13,8.970602038971265e-13,34862.94777083267,35369.34913531479
2025-04-23,8.383092570118933e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,33547.75507722298,33547.75507722289
2025-04-24,6.454351664242352e-11,0.0,0.0,0.0,9.983125437429408e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,33177.01213698436,33177.0121369843
2025-04-25,5.098267763514741e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,12735.993765879457,12735.993765879406
2025-04-26,3.782791874185065e-11,0.0,0.0,0.0,8.526512829121202e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,12968.140591766261,12968.140591766223
2025-04-27,1005.253865266274,606.2929159349522,210.13197573564418,88.81634161273882,9.094947017729282e-13,0.0,1.1368683772161603e-13,8.810729923425242e-13,33394.79194953253,32995.83100020121
