date,dp_initial_soc_kwh,dp_terminal_soc_kwh,ana_initial_soc_kwh,ana_terminal_soc_kwh,plan_cost_yuan,adj_cost_yuan,adj_up_energy_kwh,adj_down_energy_kwh,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,total_cost_yuan_alt,ana_emergency_energy_kwh,ana_emergency_cost_yuan,ana_total_cost_yuan,g0_energy_kwh,geff_energy_kwh,updates_solved,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_balance_residual_kwh,ana_max_soc_residual_kwh,dp_max_convexity_violation
2025-02-01,6000.0,10051.822225611337,6000.0,10051.822225611337,24098.25017098439,-281.6070103915385,0.0,1084.3853417225055,0.0,6.722393774971636e-11,23816.643160592917,23816.643160592917,0.0,0.0,23816.643160592852,46840.282522679285,45755.89718095678,3,1.0089706847793423e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,1.8189894035458565e-12
2025-02-02,10051.822225611337,10416.284219880006,10051.822225611337,10416.284219880006,56693.37509128301,-348.92142827218714,0.0,1052.9076747134613,0.0,5.2231998060037195e-11,56344.45366301087,56344.45366301088,0.0,0.0,56344.45366301082,89018.29161761465,87965.38394290119,3,9.71667191151937e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-03,10416.284219880006,9832.058610379805,10416.284219880006,9832.058610379805,54071.14727399932,-246.14499451597425,0.0,709.3406013672873,0.0,9.033286861581667e-11,53825.00227948343,53825.00227948343,0.0,0.0,53825.00227948334,85252.51605840132,84543.17545703403,3,9.876544027065393e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-04,9832.058610379805,9654.165934964107,9832.058610379805,9654.165934964107,54513.518862261175,170.02108242053168,101.28109653707975,59.45330881322582,0.0,7.99173535126485e-11,54683.53994468179,54683.53994468179,0.0,0.0,54683.53994468171,86052.55914092102,86094.38692864488,3,9.592326932761353e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-05,9654.165934964107,9770.58564441771,9654.165934964107,9770.58564441771,54066.474174551055,527.2049464997112,556.2346081860501,66.05181983501399,358.3818648935204,1750.0125910458469,56343.69171209661,56343.69171209661,358.3818648935197,1759.775353064532,56353.4544741153,85465.73608305199,85955.91887140302,3,9.805489753489383e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-06,9770.58564441771,9864.395808392332,9770.58564441771,9864.395808392332,54934.575105800046,-563.5973339483187,0.0,1559.2691656268369,21.05286666666734,122.9803206334173,54493.95809248515,54493.95809248515,21.05286666666666,122.98032063333329,54493.95809248506,86740.22394514087,85180.95477951402,3,1.0231815394945443e-12,3.552713678800501e-15,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-07,9864.395808392332,10116.537459201278,9864.395808392332,10116.537459201278,21437.210443753094,-277.774342941839,0.0,1083.1993125938152,0.0,6.19101855059423e-11,21159.436100811316,21159.436100811316,0.0,0.0,21159.436100811254,41326.22628966879,40243.02697707497,3,9.983125437429408e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-08,10116.537459201278,9635.331433987987,10116.537459201278,9635.331433987987,19333.675860609073,0.0,0.0,0.0,0.0,8.258210903999697e-11,19333.675860609157,19333.675860609153,0.0,0.0,19333.675860609073,37055.39053949883,37055.39053949883,3,1.0231815394945443e-12,1.4210854715202004e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-09,9635.331433987987,9563.330583565803,9635.331433987987,9563.330583565803,52669.88917541995,254.2847678524529,302.3011714439249,0.0,92.1349343693164,465.3046905590523,53389.47863383146,53389.47863383145,92.1349343693169,577.7049104862879,53501.878853758695,83549.69261058743,83851.99378203135,3,9.734435479913373e-13,1.1368683772161603e-13,0.0,8.739675649849232e-13,2.9105606813573104e-12
2025-02-10,9563.330583565803,9660.704995593229,9563.330583565803,9660.704995593229,52548.516131767,-293.61664962376904,0.0,897.3355723556181,0.0,6.830401566570998e-11,52254.89948214329,52254.8994821433,0.0,0.0,52254.89948214323,83587.3392281741,82690.00365581847,3,9.094947017729282e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
