date,dp_initial_soc_kwh,dp_terminal_soc_kwh,ana_initial_soc_kwh,ana_terminal_soc_kwh,plan_cost_yuan,adj_cost_yuan,adj_up_energy_kwh,adj_down_energy_kwh,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,total_cost_yuan_alt,ana_emergency_energy_kwh,ana_emergency_cost_yuan,ana_total_cost_yuan,g0_energy_kwh,geff_energy_kwh,updates_solved,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_balance_residual_kwh,ana_max_soc_residual_kwh,dp_max_convexity_violation
2025-02-01,6000.0,10103.41568361399,6000.0,10103.41568361399,24098.25017098439,0.0,0.0,0.0,0.0,5.018724746896908e-11,24098.25017098444,24098.25017098444,0.0,0.0,24098.25017098439,46840.282522679285,46840.282522679285,1,1.0089706847793423e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,1.4557244298885053e-12
2025-02-02,10103.41568361399,10481.0924575591,10103.41568361399,10481.0924575591,56671.105935693704,0.0,0.0,0.0,0.0,4.9838069893226586e-11,56671.105935693755,56671.10593569375,0.0,0.0,56671.105935693704,88965.80731352587,88965.80731352587,1,9.71667191151937e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,1.4557244298885053e-12
2025-02-03,10481.0924575591,9832.058610379794,10481.0924575591,9832.058610379794,54043.499386030715,0.0,0.0,0.0,0.0,9.808573474268111e-11,54043.49938603081,54043.49938603082,0.0,0.0,54043.499386030715,85188.49427804479,85188.49427804479,1,9.592326932761353e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-04,9832.058610379794,9596.59315452742,9832.058610379794,9596.59315452742,54513.51886226118,0.0,0.0,0.0,0.0,9.135138179239277e-11,54513.51886226128,54513.51886226128,0.0,0.0,54513.51886226118,86052.55914092105,86052.55914092105,1,9.592326932761353e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,1.4557244298885053e-12
2025-02-05,9596.59315452742,9843.976555345505,9596.59315452742,9843.976555345505,54097.23490923387,0.0,0.0,0.0,349.183460068583,1704.88127327546,55802.11618250933,55802.116182509344,349.1834600685823,1714.8486435102152,55812.08355274409,85527.29186386903,85527.29186386903,1,1.0231815394945443e-12,5.684341886080802e-14,0.0,9.094947017729282e-13,1.8189894035458565e-12
2025-02-06,9843.976555345505,9972.413436358522,9843.976555345505,9972.413436358522,54900.394599965264,0.0,0.0,0.0,21.05286666666734,122.98032063341388,55023.374920598675,55023.37492059868,21.05286666666666,122.98032063333329,55023.374920598595,86664.04197277545,86664.04197277545,1,1.0231815394945443e-12,5.684341886080802e-14,0.0,9.094947017729282e-13,1.8189894035458565e-12
2025-02-07,9972.413436358522,10215.237425444117,9972.413436358522,10215.237425444117,21387.638940919962,0.0,0.0,0.0,0.0,5.628490673537101e-11,21387.638940920016,21387.63894092002,0.0,0.0,21387.638940919962,41220.17900853336,41220.17900853336,1,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,1.8189894035458565e-12
2025-02-08,10215.237425444117,9634.230007374495,10215.237425444117,9634.230007374495,19305.24340417691,0.0,0.0,0.0,0.0,6.981900646518824e-11,19305.243404176977,19305.243404176977,0.0,0.0,19305.24340417691,36990.59085597444,36990.59085597444,1,1.0231815394945443e-12,1.4210854715202004e-14,0.0,9.094947017729282e-13,1.4557244298885053e-12
2025-02-09,9634.230007374495,9563.330583565803,9634.230007374495,9563.330583565803,52670.42630446513,0.0,0.0,0.0,336.99888323889286,1824.8597289757881,54495.28603344092,54495.28603344091,336.99888323889337,2285.875817800453,54956.30212226558,83550.91641793576,83550.91641793576,1,9.734435479913373e-13,1.1368683772161603e-13,0.0,8.739675649849232e-13,2.9105606813573104e-12
2025-02-10,9563.330583565803,9729.658497050246,9563.330583565803,9729.658497050246,52548.516131767,0.0,0.0,0.0,0.0,7.159891601826729e-11,52548.51613176707,52548.51613176707,0.0,0.0,52548.516131767,83587.3392281741,83587.3392281741,1,9.094947017729282e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,1.8189894035458565e-12
2025-02-11,9729.658497050246,9872.899694525859,9729.658497050246,9872.899694525859,51077.21861736114,0.0,0.0,0.0,5.440648272234853,25.483996507214535,51102.70261386836,51102.70261386836,5.440648272234171,25.483996507144855,51102.702613868285,81477.47981982141,81477.47981982141,1,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
