date,dp_initial_soc_kwh,dp_terminal_soc_kwh,ana_initial_soc_kwh,ana_terminal_soc_kwh,plan_cost_yuan,adj_cost_yuan,adj_up_energy_kwh,adj_down_energy_kwh,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,total_cost_yuan_alt,ana_emergency_energy_kwh,ana_emergency_cost_yuan,ana_total_cost_yuan,g0_energy_kwh,geff_energy_kwh,updates_solved,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_balance_residual_kwh,ana_max_soc_residual_kwh,dp_max_convexity_violation
2025-02-01,6000.0,10051.822225611337,6000.0,10051.822225611337,24098.25017098439,-230.65324691133605,0.0,918.6796344137525,0.0,5.881330866763789e-11,23867.59692407311,23867.596924073114,0.0,0.0,23867.596924073052,46840.282522679285,45921.60288826553,4,1.0089706847793423e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-02,10051.822225611337,10416.284219880006,10051.822225611337,10416.284219880006,56693.37509128301,-346.1495768048484,0.0,1011.74667810194,0.0,5.041101203140386e-11,56347.22551447821,56347.22551447821,0.0,0.0,56347.22551447816,89018.29161761465,88006.5449395127,4,9.71667191151937e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-03,10416.284219880006,9832.058610379805,10416.284219880006,9832.058610379805,54071.14727399932,-259.2908339220076,0.0,698.7389783730532,0.0,8.409356798411148e-11,53811.8564400774,53811.85644007739,0.0,0.0,53811.85644007731,85252.51605840132,84553.77708002826,4,9.876544027065393e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-04,9832.058610379805,9654.068569724648,9832.058610379805,9654.068569724648,54513.518862261175,171.92243501328466,102.58696102676834,60.75917330291452,0.0,8.183684208074027e-11,54685.44129727454,54685.44129727455,0.0,0.0,54685.44129727446,86052.55914092102,86094.38692864488,4,9.592326932761353e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-05,9654.068569724648,9770.58564441771,9654.068569724648,9770.58564441771,54066.574744471756,889.8178707475605,816.6344174184615,66.0518198350162,99.36614580466664,506.98011600854863,55463.372731227864,55463.37273122788,99.36614580466596,506.980116008462,55463.37273122778,85465.8237117675,86216.40630935095,4,9.805489753489383e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-06,9770.58564441771,9864.395808392332,9770.58564441771,9864.395808392332,54934.575105800046,-573.8810474805359,0.0,1553.8541561797392,21.05286666666734,122.98032063342336,54483.674378952936,54483.674378952936,21.05286666666666,122.98032063333329,54483.67437895284,86740.22394514087,85186.36978896112,4,1.0231815394945443e-12,3.552713678800501e-15,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-07,9864.395808392332,10116.537459201278,9864.395808392332,10116.537459201278,21437.210443753094,-277.774342941839,0.0,1083.1993125938152,0.0,6.165149110670675e-11,21159.436100811316,21159.436100811316,0.0,0.0,21159.436100811254,41326.22628966879,40243.02697707497,4,9.983125437429408e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-08,10116.537459201278,9635.331433987987,10116.537459201278,9635.331433987987,19333.675860609073,0.0,0.0,0.0,0.0,8.223802161477778e-11,19333.675860609157,19333.675860609157,0.0,0.0,19333.675860609073,37055.39053949883,37055.39053949883,4,1.0231815394945443e-12,1.4210854715202004e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-09,9635.331433987987,9563.330583565803,9635.331433987987,9563.330583565803,52669.88917541995,254.2847678524529,302.3011714439249,0.0,92.1349343693164,465.3046905590523,53389.47863383146,53389.47863383145,92.1349343693169,577.7049104862879,53501.878853758695,83549.69261058743,83851.99378203135,4,9.734435479913373e-13,1.1368683772161603e-13,0.0,8.739675649849232e-13,2.9105606813573104e-12
2025-02-10,9563.330583565803,9660.704995593229,9563.330583565803,9660.704995593229,52548.516131767,-354.8266777213505,0.0,1072.3692484552532,0.0,5.7765638383777683e-11,52193.68945404571,52193.68945404571,0.0,0.0,52193.68945404565,83587.3392281741,82514.96997971882,4,9.094947017729282e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-11,9660.704995593229,9771.703945283942,9660.704995593229,9771.703945283942,51118.81249758244,-187.78047741762504,0.0,434.25742144562116,5.6256889913846635,26.35072723571058,50957.38274740052,50957.38274740052,5.625688991383981,26.35072723564257,50957.38274740046,81581.08935644329,81146.83193499767,4,9.85878045867139e-13,1.1368683772161603e-13,0.0,8.86846152070575e-13,2.9105606813573104e-12
2025-02-12,9771.703945283942,9596.311974916118,9771.703945283942,9596.311974916118,50705.93925991948,-313.0123439344119,0.0,867.8291179860595,0.0,8.583637423065226e-11,50392.92691598516,50392.926915985154,0.0,0.0,50392.926915985074,80874.222530782,80006.39341279594,4,9.841016890277388e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-13,9596.311974916118,9997.176124559595,9596.311974916118,9997.176124559595,49827.00358713286,-225.94319004186102,0.0,773.0906622134253,0.0,5.927360569035756e-11,49601.06039709105,49601.06039709106,0.0,0.0,49601.060397090994,79615.90344629882,78842.8127840854,4,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,8.846257060213247e-13,2.9105606813573104e-12
2025-02-14,9997.176124559595,9674.307649481387,9997.176124559595,9674.307649481387,18372.19754709934,248.31038460364007,135.4001770018213,0.0,5.763631697289561,31.264820142006275,18651.772751844983,18651.772751844986,5.763631697289561,31.264820141947226,18651.772751844925,35335.124835111696,35470.52501211352,4,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
