date,dp_emergency_cost_yuan,ana_emergency_cost_yuan,dp_emergency_energy_kwh,ana_emergency_energy_kwh,dp_max_balance_residual_kwh,ana_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_soc_residual_kwh,dp_total_cost_yuan,ana_total_cost_yuan
2025-02-01,5.881330866763789e-11,0.0,0.0,0.0,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,23867.59692407311,23867.596924073052
2025-02-02,5.041101203140386e-11,0.0,0.0,0.0,9.71667191151937e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,56347.22551447821,56347.22551447816
2025-02-03,8.409356798411148e-11,0.0,0.0,0.0,9.876544027065393e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,53811.8564400774,53811.85644007731
2025-02-04,8.183684208074027e-11,0.0,0.0,0.0,9.592326932761353e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,54685.44129727454,54685.44129727446
2025-02-05,506.98011600854863,506.980116008462,99.36614580466664,99.36614580466596,9.805489753489383e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,55463.372731227864,55463.37273122778
2025-02-06,122.98032063342336,122.98032063333329,21.05286666666734,21.05286666666666,1.0231815394945443e-12,0.0,3.552713678800501e-15,9.094947017729282e-13,54483.674378952936,54483.67437895284
2025-02-07,6.165149110670675e-11,0.0,0.0,0.0,9.983125437429408e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,21159.436100811316,21159.436100811254
2025-02-08,8.223802161477778e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.4210854715202004e-14,9.094947017729282e-13,19333.675860609157,19333.675860609073
2025-02-09,465.3046905590523,577.7049104862879,92.1349343693164,92.1349343693169,9.734435479913373e-13,0.0,1.1368683772161603e-13,8.739675649849232e-13,53389.47863383146,53501.878853758695
2025-02-10,5.7765638383777683e-11,0.0,0.0,0.0,9.094947017729282e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,52193.68945404571,52193.68945404565
2025-02-11,26.35072723571058,26.35072723564257,5.6256889913846635,5.625688991383981,9.85878045867139e-13,0.0,1.1368683772161603e-13,8.86846152070575e-13,50957.38274740052,50957.38274740046
2025-02-12,8.583637423065226e-11,0.0,0.0,0.0,9.841016890277388e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,50392.92691598516,50392.926915985074
2025-02-13,5.927360569035756e-11,0.0,0.0,0.0,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,8.846257060213247e-13,49601.06039709105,49601.060397090994
2025-02-14,31.264820142006275,31.264820141947226,5.763631697289561,5.763631697289561,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,18651.772751844983,18651.772751844925
2025-02-15,116.19946928482355,52.81594590732492,28.341498628626937,13.605344128625688,9.237055564881302e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,18821.427285966947,18758.04376258945
2025-02-16,223.86755506343798,223.8675550633395,54.19862244883049,54.19862244882981,9.85878045867139e-13,0.0,7.105427357601002e-15,8.86402062860725e-13,50159.8053537693,50159.8053537692
2025-02-17,6.135568231258047e-11,0.0,0.0,0.0,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,49778.87058208546,49778.8705820854
2025-02-18,8.905300941108862e-11,0.0,0.0,0.0,9.876544027065393e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,47713.257684921286,47713.2576849212
2025-02-19,2275.2689759362065,2275.2689759361406,466.34250137587685,466.34250137587696,9.983125437429408e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,50159.88820691394,50159.88820691388
2025-02-20,18.913247180462065,18.913247180387323,4.0378409864198375,4.037840986419155,9.841016890277388e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,48192.70120952758,48192.701209527506
2025-02-21,4.672542563977089e-11,0.0,0.0,0.0,9.947598300641403e-13,0.0,5.684341886080802e-14,8.313350008393172e-13,17845.594250042577,17845.59425004253
2025-02-22,6.791283302387541e-11,0.0,0.0,0.0,9.094947017729282e-13,0.0,1.1368683772161603e-13,8.952838470577262e-13,18172.48373501612,18172.483735016052
2025-02-23,7.040378657841018e-11,0.0,0.0,0.0,9.734435479913373e-13,0.0,1.4210854715202004e-14,8.775202786637237e-13,47795.105620478054,47795.10562047798
2025-02-24,5.170679240329434e-11,0.0,0.0,0.0,9.343636975245317e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,46884.27639913487,46884.27639913482
2025-02-25,30.28877146676145,30.28877146669918,6.916034128713022,6.916034128713136,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,45921.747098580025,45921.74709857997
2025-02-26,2085.0189982741012,2664.269070791811,467.4094855639156,391.00272384726566,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,47353.37302917249,47932.6231016902
2025-02-27,3428.354357413906,3675.0912705507862,709.4167058877288,760.2902962252481,1.0089706847793423e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,47894.07692357631,48140.81383671319
2025-02-28,6.027673404851441e-11,0.0,0.0,0.0,9.663381206337363e-13,0.0,5.684341886080802e-14,8.846257060213247e-13,17421.09201857717,17421.092018577107
2025-03-01,5.1444978055315e-11,0.0,0.0,0.0,9.610090501155355e-13,0.0,5.684341886080802e-14,8.846257060213247e-13,17442.609909959385,17442.609909959334
2025-03-02,9125.088620418945,6195.780297909754,1854.7496638040404,910.657639387314,9.97923965684322e-13,0.0,5.684341886080802e-14,8.981149157705204e-13,57017.365540760424,54088.05721825123
2025-03-03,340.2806528322931,0.0,75.22162278261844,0.0,9.841016890277388e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,48231.448387847435,47891.167735015144
2025-03-04,4.92691032416559e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,47762.504375077486,47762.504375077435
2025-03-05,6.957260911821805e-11,0.0,0.0,0.0,9.983125437429408e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,45922.36946027074,45922.36946027067
2025-03-06,7.634772858367001e-11,0.0,0.0,0.0,1.0107470416187425e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,44433.43093853604,44433.43093853597
2025-03-07,4.481458013017026e-11,0.0,0.0,0.0,9.85878045867139e-13,0.0,5.684341886080802e-14,8.952838470577262e-13,16917.751813734765,16917.75181373472
2025-03-08,296.10048156852866,320.11761533479995,71.08705962243401,71.08705962243411,9.414691248821327e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,16695.380324004112,16719.39745777038
2025-03-09,5.821847715026252e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,43078.76573158575,43078.76573158569
2025-03-10,3133.0453199903914,3665.0925573305776,626.0592097723251,552.8279181623509,9.734435479913373e-13,0.0,5.684341886080802e-14,8.757439218243235e-13,47888.25403838832,48420.3012757285
2025-03-11,272.1414835650871,0.0,60.770954315971125,0.0,9.734435479913373e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,43366.72758443968,43094.58610087459
2025-03-12,4.1127361016801705e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,42123.24656761621,42123.24656761617
2025-03-13,2962.29985125079,3851.966905005645,600.850237827401,600.8502378274011,9.983125437429408e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,47302.910498064055,48192.57755181891
2025-03-14,4.108258025437017e-11,0.0,0.0,0.0,9.663381206337363e-13,0.0,5.684341886080802e-14,8.881784197001252e-13,16050.676321516383,16050.676321516341
2025-03-15,1255.4371958200377,1255.4371958200009,311.6499736136529,311.6499736136529,9.032774528350274e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,17055.316856360747,17055.31685636071
2025-03-16,8.139023999209628e-11,0.0,0.0,0.0,9.734435479913373e-13,0.0,7.105427357601002e-15,8.841816168114747e-13,43155.45386161269,43155.45386161261
2025-03-17,8.284576891171014e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,5.684341886080802e-14,8.842926391139372e-13,41029.53271992711,41029.53271992703
2025-03-18,422.4678473140365,422.46784731398503,85.73761360936044,85.73761360936044,1.0089706847793423e-12,0.0,2.842170943040401e-14,9.094947017729282e-13,41078.926916841214,41078.92691684116
2025-03-19,6.945723116449921e-11,0.0,0.0,0.0,9.983125437429408e-13,0.0,1.1368683772161603e-13,8.970602038971265e-13,39941.68711119013,39941.687111190055
2025-03-20,2222.2178647210494,2961.1756774907794,437.2048018193707,437.2048018193706,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,42885.01093763276,43623.968750402484
2025-03-21,113.13994334266678,113.13994334263384,29.60228763543533,29.60228763543533,9.601208716958354e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,15857.156263073977,15857.156263073945
2025-03-22,4.4294495626928665e-11,0.0,0.0,0.0,8.526512829121202e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,15480.39658374076,15480.396583740716
2025-03-23,5.0832609010953436e-11,0.0,0.0,0.0,9.450218385609332e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,40332.23881497355,40332.2388149735
2025-03-24,7.477149360779478e-11,0.0,0.0,0.0,9.725553695716371e-13,0.0,1.1368683772161603e-13,8.846257060213247e-13,39147.540409615656,39147.54040961558
2025-03-25,7.744462574010846e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.4210854715202004e-14,9.094947017729282e-13,39829.059917246814,39829.059917246734
2025-03-26,7.307290673941314e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,38948.68314187435,38948.68314187428
2025-03-27,7.432908444293674e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,38463.555207922036,38463.55520792196
2025-03-28,2.8775291482929786e-11,0.0,0.0,0.0,9.414691248821327e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,15167.351865980396,15167.351865980367
2025-03-29,48.637281096866225,48.637281096821,10.297133013754262,10.297133013754262,7.958078640513122e-13,0.0,3.552713678800501e-15,9.094947017729282e-13,14995.174488002402,14995.174488002356
2025-03-30,7.085091202618797e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,5.684341886080802e-14,9.094947017729282e-13,37102.65153457285,37102.651534572775
2025-03-31,3258.035309933096,3745.3078017844377,733.5603319886536,556.2640025519552,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,41011.24249866915,41498.51499052049
2025-04-01,2192.903067756988,4104.820275591529,414.1505586287785,591.4468880654714,9.805489753489383e-13,0.0,2.842170943040401e-14,9.094947017729282e-13,40990.511004884094,42902.42821271863
2025-04-02,7114.015599489942,7109.907099489892,1433.1879651322902,1433.1879651322902,1.0107470416187425e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,46102.43379134095,46098.3252913409
2025-04-03,6.315280931534773e-11,0.0,0.0,0.0,9.450218385609332e-13,0.0,1.1368683772161603e-13,8.846257060213247e-13,39024.98558854202,39024.98558854195
2025-04-04,4.0675575352366876e-11,0.0,0.0,0.0,7.958078640513122e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,14506.779477062622,14506.779477062582
2025-04-05,2187.515262275162,0.0,457.76023657992084,0.0,9.663381206337363e-13,0.0,5.684341886080802e-14,8.952838470577262e-13,16795.906342785896,14608.391080510735
2025-04-06,5.960119864312219e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,2.842170943040401e-14,9.094947017729282e-13,37283.48031083971,37283.48031083965
2025-04-07,8.924769007156997e-11,0.0,0.0,0.0,9.947598300641403e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,35730.75685408082,35730.75685408073
2025-04-08,954.4894917728332,956.0210839842847,157.53318917142113,157.53318917142101,9.308109838457312e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,37545.754826135286,37547.28641834674
2025-04-09,1998.2135852863662,2915.3339208276466,447.42550099681057,421.12379195531855,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,40986.17466051058,41903.29499605186
2025-04-10,5.6950916205167346e-11,0.0,0.0,0.0,9.841016890277388e-13,0.0,2.842170943040401e-14,9.094947017729282e-13,37701.565653254576,37701.56565325452
