date,issue_hour,window_position,absolute_date_offset,absolute_t,variable_type,plan_kwh,delta_plus_kwh,delta_minus_kwh,g0_reference_kwh
2025-02-01,0,1,0,1,g0,1238.1322871989819,,,
2025-02-01,0,2,0,2,g0,1266.3993473430064,,,
2025-02-01,0,3,0,3,g0,1272.5647362577877,,,
2025-02-01,0,4,0,4,g0,1185.308536060911,,,
2025-02-01,0,5,0,5,g0,1232.327091582607,,,
2025-02-01,0,6,0,6,g0,495.3917076958247,,,
2025-02-01,0,7,0,7,g0,488.75388922817507,,,
2025-02-01,0,8,0,8,g0,450.4140628266874,,,
2025-02-01,0,9,0,9,g0,463.819750085014,,,
2025-02-01,0,10,0,10,g0,508.16588392144865,,,
2025-02-01,0,11,0,11,g0,512.0694396460178,,,
2025-02-01,0,12,0,12,g0,495.15549401630017,,,
2025-02-01,0,13,0,13,g0,495.38694212419,,,
2025-02-01,0,14,0,14,g0,491.0237354336756,,,
2025-02-01,0,15,0,15,g0,480.1590990764551,,,
2025-02-01,0,16,0,16,g0,501.80712105951847,,,
2025-02-01,0,17,0,17,g0,527.9193234329225,,,
2025-02-01,0,18,0,18,g0,553.6834345573463,,,
2025-02-01,0,19,0,19,g0,559.8412485961785,,,
2025-02-01,0,20,0,20,g0,552.2392057895971,,,
2025-02-01,0,21,0,21,g0,529.8195305410618,,,
2025-02-01,0,22,0,22,g0,503.5374439337841,,,
2025-02-01,0,23,0,23,g0,509.6342900862255,,,
2025-02-01,0,24,0,24,g0,545.7528850453335,,,
2025-02-01,0,25,0,25,g0,584.360950997814,,,
2025-02-01,0,26,0,26,g0,581.3551570733896,,,
2025-02-01,0,27,0,27,g0,539.2168875063761,,,
2025-02-01,0,28,0,28,g0,542.2285788735916,,,
2025-02-01,0,29,0,29,g0,517.3363988438217,,,
2025-02-01,0,30,0,30,g0,515.1105083248729,,,
2025-02-01,0,31,0,31,g0,543.7783360264716,,,
2025-02-01,0,32,0,32,g0,569.7955536900308,,,
2025-02-01,0,33,0,33,g0,617.3678652483454,,,
2025-02-01,0,34,0,34,g0,1359.5255198651857,,,
2025-02-01,0,35,0,35,g0,519.6888482264013,,,
2025-02-01,0,36,0,36,g0,0.0,,,
2025-02-01,0,37,0,37,g0,0.0,,,
