date,issue_hour,kind,initial_soc_kwh,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_delta_product_kwh2,max_simultaneous_product_kwh2,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
2025-02-01,0,original,6000.0,19734.533310183277,29,Optimal,0.4188286999997217,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,11112,0,
2025-02-01,6,rolling,10219.471498029336,20199.53881899413,28,Optimal,0.3174956000002567,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,9774,0,
2025-02-01,12,rolling,7010.0,33712.69732457918,28,Optimal,0.5127043999964371,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11167,0,
2025-02-01,18,rolling,10321.741017850918,39497.72609837569,28,Optimal,0.5674702999967849,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11294,0,
2025-02-02,0,original,10051.822225611337,52461.15861320716,30,Optimal,0.8098081000061939,False,False,1.4189058816782563e-09,1.8858372641261667e-09,0.0,0.0,7.366907084360719e-13,13133,0,
2025-02-02,6,rolling,10800.0,51551.34492868277,29,Optimal,0.5230796999967424,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,4.8544279707130045e-11,11380,0,
2025-02-02,12,rolling,7920.0,53174.905221435125,29,Optimal,0.6440205999970203,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,11977,0,
2025-02-02,18,rolling,10800.0,47446.37593323557,29,Optimal,0.6048411000083433,False,False,1.1368683772161603e-13,2.9842794901924208e-12,0.0,0.0,1.7053025658242404e-12,12339,0,
2025-02-03,0,original,10416.284219880006,49804.98284243935,30,Optimal,0.8223915999988094,False,False,9.094947017729282e-12,3.637978807091713e-12,0.0,0.0,0.0,13266,0,
2025-02-03,6,rolling,10676.748786785487,49025.94267512979,30,Optimal,0.5014941999979783,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,2.2737367544323206e-13,11716,0,
2025-02-03,12,rolling,7283.0185822916055,50933.53410063149,30,Optimal,0.6430039999977453,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,12490,0,
2025-02-03,18,rolling,10649.617682685845,46082.023429366556,30,Optimal,0.5135251000028802,False,False,1.1368683772161603e-13,5.5564441936439835e-12,0.0,0.0,2.2737367544323206e-13,12337,0,
2025-02-04,0,original,9832.058610379805,50221.26007423991,30,Optimal,0.81286249999539,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,14225,0,
2025-02-04,6,rolling,10787.155847464914,49152.47123274713,30,Optimal,0.4218936999968719,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11808,0,
2025-02-04,12,rolling,6577.028778820207,50439.40088114772,30,Optimal,0.5439836000005016,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,11941,0,
2025-02-04,18,rolling,10217.789380826718,46483.31442965836,30,Optimal,0.554832499998156,False,False,1.1368683772161603e-13,3.410605131648481e-12,0.0,0.0,1.1368683772161603e-13,11901,0,
2025-02-05,0,original,9654.068569724648,49774.19198623508,30,Optimal,0.8132488999981433,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13501,0,
2025-02-05,6,rolling,10194.618898913921,49673.37328313811,30,Optimal,0.4253288000036264,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11894,0,
2025-02-05,12,rolling,5902.062798040667,52034.822257278254,30,Optimal,0.5303104000049643,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,0.0,11850,0,
2025-02-05,18,rolling,10736.064258159557,45389.616396674246,30,Optimal,0.625246600000537,False,False,1.1368683772161603e-13,2.042810365310288e-12,0.0,0.0,1.1368683772161603e-13,12569,0,
2025-02-06,0,original,9770.58564441771,50622.87343056731,30,Optimal,0.9871631999994861,False,False,1.1368683772161603e-13,5.7980287238024175e-12,0.0,0.0,0.0,15659,0,
2025-02-06,6,rolling,10682.471760375407,47074.33501849643,30,Optimal,0.47308199999679346,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1.1368683772161603e-13,11389,0,
2025-02-06,12,rolling,7753.38530921848,38250.6236464938,30,Optimal,0.45526889999746345,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,11446,0,
2025-02-06,18,rolling,10720.955119259956,20925.748182706768,30,Optimal,0.3306025000056252,False,False,1.1368683772161603e-13,9.379164112033322e-13,0.0,0.0,1.1368683772161603e-13,11292,0,
2025-02-07,0,original,9864.395808392332,17036.733246080905,30,Optimal,0.4362866000010399,False,False,1.1368683772161603e-13,1.751487843648647e-12,0.0,0.0,0.0,11390,0,
2025-02-07,6,rolling,9821.082796018954,17006.320565133945,30,Optimal,0.30258460000914056,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,10327,0,
2025-02-07,12,rolling,6960.0,17585.896569623055,30,Optimal,0.4493910000019241,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,10944,0,
2025-02-07,18,rolling,10290.618518518519,14153.64548614535,30,Optimal,0.33064279999234714,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,10952,0,
2025-02-08,0,original,10116.537459201278,14826.485607754086,30,Optimal,0.3214177999907406,False,False,2.8517299632824233e-11,3.664768488675918e-11,0.0,0.0,0.0,10842,0,
2025-02-08,6,rolling,8625.375941172257,18289.845986002176,30,Optimal,0.2776278999954229,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1.1368683772161603e-13,10178,0,
2025-02-08,12,rolling,6550.0,30170.135276984503,30,Optimal,0.47135390000767075,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,2.7284841053187847e-12,11618,0,
2025-02-08,18,rolling,9915.144346332972,38133.70046660999,30,Optimal,0.5273030999960611,False,False,1.1368683772161603e-13,1.0516032489249483e-12,0.0,0.0,5.684341886080802e-14,11891,0,
2025-02-09,0,original,9635.331433987987,48377.66380960126,30,Optimal,0.8764885999989929,False,False,1.1368683772161603e-13,2.0463630789890885e-12,0.0,0.0,0.0,13379,0,
2025-02-09,6,rolling,10745.90425577099,47546.293267529545,30,Optimal,0.4612384999927599,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11454,0,
2025-02-09,12,rolling,6501.647073654436,49407.89437966975,30,Optimal,0.4636166999989655,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,11727,0,
2025-02-09,18,rolling,10394.343475223435,43467.82199300407,30,Optimal,0.5271142999990843,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11843,0,
2025-02-10,0,original,9563.330583565803,48175.72888774165,30,Optimal,0.8070108000101754,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13263,0,
2025-02-10,6,rolling,10360.351556877165,47025.80731820496,30,Optimal,0.4880881999997655,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,11409,0,
2025-02-10,12,rolling,7770.0,48086.0311081106,30,Optimal,0.5329579999961425,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,11676,0,
2025-02-10,18,rolling,10736.545552245334,42528.513058389064,30,Optimal,0.5403641000011703,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,2.2737367544323206e-13,11708,0,
2025-02-11,0,original,9660.704995593229,46738.44229653047,30,Optimal,0.8556199000013294,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13749,0,
