branch,date,t,source_right_end_label,physical_interval,responsible_issue_hour,point_price_forecast,scenario_mean_planning_price,actual_settlement_and_current_price,actual_load_kwh,actual_pv_kwh,forecast_load_kwh,forecast_pv_kwh,g0_kwh,geff_kwh,delta_plus_kwh,delta_minus_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_end_soc_kwh,interval_plan_cost_yuan,interval_adjustment_transaction_yuan,interval_adjustment_surcharge_yuan,interval_emergency_cost_yuan,interval_total_bill_yuan
4-2,2025-02-01,1,00:10,0:00-0:10,0,0.33950657345744406,0.3416711714686538,0.3281,422.0303666666667,0.0,435.96965853203966,0.0,1238.1322871989819,1238.1322871989819,0.0,0.0,816.101920532315,0.0,0.0,0.0,6734.491728479084,406.23120342998595,0.0,0.0,0.0,406.23120342998595
4-2,2025-02-01,2,00:20,0:10-0:20,0,0.3392910385640173,0.3387419736253682,0.3257,415.4073166666667,0.0,464.32108434849977,0.0,1282.7429509449698,1282.7429509449698,0.0,0.0,833.3333333333333,0.0,0.0,34.002300944969875,7484.491728479084,417.78937912277667,0.0,0.0,0.0,417.78937912277667
4-2,2025-02-01,3,00:30,0:20-0:30,0,0.3359258252354446,0.33001186270399974,0.3041,410.7166666666667,0.0,487.63258048168404,0.0,1272.5647362577877,1272.5647362577877,0.0,0.0,833.3333333333323,0.0,0.0,28.514736257788627,8234.491728479083,386.9869362959932,0.0,0.0,0.0,386.9869362959932
4-2,2025-02-01,4,00:40,0:30-0:40,0,0.3357226520120054,0.334801781636581,0.3126,430.29479999999995,0.0,461.39861013457227,0.0,1254.6056735110074,1254.6056735110074,0.0,0.0,824.3108735110076,0.0,0.0,0.0,8976.37151463899,392.1897335395409,0.0,0.0,0.0,392.1897335395409
4-2,2025-02-01,5,00:50,0:40-0:50,0,0.3427955587076279,0.3485858062454605,0.3286,424.4105833333333,0.0,450.6391780161755,0.0,591.1047116915842,591.1047116915842,0.0,0.0,166.69412835825116,0.0,0.0,0.0,9126.396230161416,194.23700826185456,0.0,0.0,0.0,194.23700826185456
4-2,2025-02-01,6,01:00,0:50-1:00,0,0.35110957220785816,0.36027196917240356,0.3438,406.0516666666666,0.0,467.8274089685731,0.0,491.62119352134596,491.62119352134596,0.0,0.0,85.56952685467978,0.0,0.0,0.0,9203.408804330627,169.01936633263873,0.0,0.0,0.0,169.01936633263873
4-2,2025-02-01,7,01:10,1:00-1:10,0,0.349945230427969,0.3619459752722614,0.3704,436.7501833333333,0.0,461.3105003646568,0.0,497.11868196781535,497.11868196781535,0.0,0.0,60.36849863448272,0.0,0.0,0.0,9257.740453101662,184.1327598008788,0.0,0.0,0.0,184.1327598008788
4-2,2025-02-01,8,01:20,1:10-1:20,0,0.34766676933026347,0.3602876300253351,0.3746,451.7976833333333,0.0,443.8641151511249,0.0,489.4529101416239,489.4529101416239,0.0,0.0,37.65522680829033,0.0,0.0,0.0,9291.630157229123,183.34906013905228,0.0,0.0,0.0,183.34906013905228
4-2,2025-02-01,9,01:30,1:20-1:30,0,0.35099433477646247,0.36233692383356153,0.3606,446.08,0.0,450.69991503123345,0.0,463.819750085014,463.819750085014,0.0,0.0,17.73975008501414,0.0,0.0,0.0,9307.595932305636,167.25340188065604,0.0,0.0,0.0,167.25340188065604
4-2,2025-02-01,10,01:40,1:30-1:40,0,0.3576319219794657,0.367410823079501,0.3582,471.7663333333333,0.0,497.431475286157,0.0,486.8193137457606,486.8193137457606,0.0,0.0,15.05298041242794,0.0,0.0,0.0,9321.143614676821,174.37867818373147,0.0,0.0,0.0,174.37867818373147
4-2,2025-02-01,11,01:50,1:40-1:50,0,0.35652206857562985,0.35878839899076553,0.3041,448.02596666666665,0.0,503.91547863332806,0.0,524.3135651473538,524.3135651473538,0.0,0.0,76.28759848068714,0.0,0.0,0.0,9389.80245330944,159.44375516131026,0.0,0.0,0.0,159.44375516131026
4-2,2025-02-01,12,02:00,1:50-2:00,0,0.3506219031694167,0.34634908964671424,0.2537,397.4033333333333,0.0,466.7047385965242,0.0,1268.3296650902703,1268.3296650902703,0.0,0.0,833.3333333333333,0.0,0.0,37.59299842360372,10139.80245330944,321.77523603340154,0.0,0.0,0.0,321.77523603340154
