date,config,branch,terminal_mode,updates_solved,dp_initial_soc_kwh,dp_terminal_soc_kwh,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,g0_energy_kwh,geff_energy_kwh,adjust_up_energy_kwh,adjust_down_energy_kwh,adjust_abs_energy_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_energy_kwh,dp_unused_kwh,plan_cost_yuan,effective_base_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_total_cost_alt_yuan,billing_identity_residual_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_simultaneous_product_kwh2,dp_max_convexity_violation,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-02-01,43-main,4-3,overnight,4,6000.0,10458.933073381308,6000.0,10458.933073381308,47452.16048349501,46286.934854076884,0.0,1165.2256294181248,1165.2256294181248,23655.76311573125,15148.128357699137,0.0,3401.124162711439,19889.289116272623,19291.991309349072,-298.64890346177526,298.64890346177526,0.0,19590.640212810846,19590.64021281085,3.637978807091713e-12,0.0,0.0,19590.640212810846,8.810729923425242e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-02,43-main,4-3,overnight,4,10458.933073381308,10760.0,10458.933073381308,10800.0,88936.78923141352,88035.1842650811,0.0,901.6049663324234,901.6049663324234,20460.566986397425,16302.099025025092,0.0,5520.4383537087715,62816.87800884284,62048.81890591598,-384.02955146343055,384.02955146343055,0.0,62432.84845737941,62432.84845737941,0.0,0.0,0.0,62432.84845737941,9.841016890277388e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,8.86402062860725e-13
2025-02-03,43-main,4-3,overnight,4,10760.0,10080.541535803293,10800.0,10080.541535803293,84935.2625053685,84274.85198041229,0.0,660.4105249562075,660.4105249562075,21769.082563972537,18244.469494594792,0.0,533.3224110345539,60968.96507127449,60293.1218010698,-337.92163510235025,337.92163510235025,0.0,60631.04343617214,60631.04343617214,0.0,0.0,0.0,60631.04343617214,9.343636975245317e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-04,43-main,4-3,overnight,4,10080.541535803293,9870.496784571382,10080.541535803293,9870.496784571382,85881.66040263492,85861.79266803846,45.590993915906665,65.4587285123724,111.04972242827907,22815.943495838128,18669.95450773761,0.0,520.9397299379469,61526.341596260056,61516.548178780824,53.56974380973614,63.36316128896628,0.0,61579.91134006979,61579.91134006978,7.275957614183426e-12,0.0,0.0,61579.91134006979,9.947598300641403e-13,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,8.988365607365267e-13
2025-02-05,43-main,4-3,overnight,4,9870.496784571382,9869.279114960857,9870.496784571382,9869.279114960857,85196.0090981334,85753.18842979165,926.4180696106041,369.2387379523545,1295.6568075629584,23666.16012577323,19170.68560452579,26.47958333333395,535.7665085442239,60707.82984416106,61013.05359672547,925.5281221794733,620.30436961507,183.34463500000427,61816.702601340534,61816.70260134054,7.275957614183426e-12,26.479583333333267,183.34463499999956,61816.702601340534,9.094947017729282e-13,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-06,43-main,4-3,overnight,4,9869.279114960857,9876.887788730219,9869.279114960857,9876.887788730219,86696.67409048628,84947.27371099577,0.0,1749.400379490533,1749.400379490533,22627.115927475475,18321.11609486271,18.492480730059242,388.7091424464005,61781.10672451412,60110.47506867521,-835.3158279194506,835.3158279194506,133.79309808197863,61079.58399467664,61079.583994676635,7.275957614183426e-12,18.49248073005856,133.79309808197368,61079.583994676635,9.841016890277388e-13,3.552713678800501e-15,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-07,43-main,4-3,overnight,4,9876.887788730219,10429.253735546114,9876.887788730219,10429.253735546114,41607.558338822666,40949.35803041032,0.0,658.2003084123453,658.2003084123453,19882.880924401252,15608.00419663071,0.0,4868.8016359731155,17506.666948624945,17205.789538148012,-150.438705238468,150.438705238468,0.0,17356.22824338648,17356.22824338648,0.0,0.0,0.0,17356.22824338648,1.0231815394945443e-12,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-08,43-main,4-3,overnight,4,10429.253735546114,10028.444489359868,10429.253735546114,10028.444489359868,37219.569130448785,37224.62462415929,5.055493710500755,0.0,5.055493710500755,19568.36842021149,16211.10674193893,0.0,2290.200229220057,15471.070117377629,15474.227120606309,4.735504843020299,1.5785016143400998,0.0,15475.805622220649,15475.805622220647,1.8189894035458565e-12,0.0,0.0,15475.805622220649,1.0231815394945443e-12,1.7763568394002505e-15,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-09,43-main,4-3,overnight,4,10028.444489359868,9733.333627995482,10028.444489359868,9733.333627995482,83470.14687199518,83702.26868700929,232.12181501411084,0.0,232.12181501411084,23276.50067906671,19119.565325271986,15.900738495279484,5.818105043168771,58247.63383382479,58436.88887509831,283.8825619102896,94.62752063676321,76.12617186539839,58607.64256760047,58607.64256760047,0.0,15.900738495279484,76.12617186539839,58607.64256760047,9.85878045867139e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,8.86402062860725e-13
2025-02-10,43-main,4-3,overnight,4,9733.333627995482,9794.335252456027,9733.333627995482,9794.335252456027,83609.57002253563,82252.71195115613,0.0,1356.8580713794909,1356.8580713794909,21411.515342690924,17288.425965565162,0.0,3802.9849906970408,57066.378603592486,55867.09029276582,-599.644155413336,599.644155413336,0.0,56466.73444817915,56466.73444817915,0.0,0.0,0.0,56466.73444817915,9.663381206337363e-13,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
