date,config,branch,terminal_mode,updates_solved,dp_initial_soc_kwh,dp_terminal_soc_kwh,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,g0_energy_kwh,geff_energy_kwh,adjust_up_energy_kwh,adjust_down_energy_kwh,adjust_abs_energy_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_energy_kwh,dp_unused_kwh,plan_cost_yuan,effective_base_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_total_cost_alt_yuan,billing_identity_residual_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_simultaneous_product_kwh2,dp_max_convexity_violation,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-02-01,42-terminal-minimum,4-2,minimum,4,6000.0,2023.969218098141,6000.0,2023.969218098141,37986.04921983165,37986.04921983165,0.0,0.0,0.0,14610.857996706187,15413.222681043688,0.0,4410.237970835815,16577.55601004856,16577.55601004856,0.0,0.0,0.0,16577.55601004856,16577.55601004856,0.0,0.0,0.0,16577.55601004856,9.485745522397337e-13,1.1368683772161603e-13,0.0,2.9096725029376103e-12,0.0,9.094947017729282e-13
2025-02-02,42-terminal-minimum,4-2,minimum,4,2023.969218098141,2292.664647165133,2023.969218098141,2292.664647165133,88803.50525251112,88803.50525251112,0.0,0.0,0.0,20224.832465430263,16140.288410838224,0.0,6362.683247919088,62987.67952720046,62987.67952720046,0.0,0.0,0.0,62987.67952720046,62987.67952720046,0.0,0.0,0.0,62987.67952720046,1.0231815394945443e-12,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-03,42-terminal-minimum,4-2,minimum,4,2292.664647165133,1604.9769365040531,2292.664647165133,1604.9769365040531,84247.34925305257,84247.34925305257,0.0,0.0,0.0,21405.211656778538,17957.14038158559,0.0,582.3614778596256,60394.69117382862,60394.69117382862,0.0,0.0,0.0,60394.69117382862,60394.69117382862,0.0,0.0,0.0,60394.69117382862,9.592326932761353e-13,2.842170943040401e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-04,42-terminal-minimum,4-2,minimum,4,1604.9769365040531,1261.0005220172013,1604.9769365040531,1210.2783729952903,84839.19894834008,84839.19894834008,0.0,0.0,0.0,22021.494404810564,18146.989240934727,814.6608646291328,584.490699093388,60459.55859517513,60459.55859517513,0.0,0.0,4252.179936020577,64711.738531195704,64711.7385311957,7.275957614183426e-12,769.0109305094123,4705.661458583604,65165.220053758734,9.983125437429408e-13,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-05,42-terminal-minimum,4-2,minimum,4,1261.0005220172013,1666.3851681103804,1210.2783729952903,1666.3851681103804,85562.7725937088,85562.7725937088,0.0,0.0,0.0,23285.61253372391,18496.499970832512,215.31788215681462,240.55092964088936,61295.53171505386,61295.53171505386,0.0,0.0,1151.6729738617273,62447.20468891559,62447.20468891559,0.0,260.96781627653206,1376.8732396494854,62672.40495470335,1.0125233984581428e-12,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-06,42-terminal-minimum,4-2,minimum,4,1666.3851681103804,1719.7067034795657,1666.3851681103804,1719.7067034795657,85540.11205947353,85540.11205947353,0.0,0.0,0.0,22162.75595399917,17903.842940907063,15.968974648320795,1026.1108043630693,61215.9052210244,61215.9052210244,0.0,0.0,115.53553158060096,61331.440752605,61331.44075260499,7.275957614183426e-12,15.968974648320113,115.53553158059603,61331.44075260499,9.663381206337363e-13,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,8.668621376273222e-13
2025-02-07,42-terminal-minimum,4-2,minimum,4,1719.7067034795657,1979.2403329331314,1719.7067034795657,1979.2403329331314,40869.364698401245,40869.364698401245,0.0,0.0,0.0,19266.542019892026,15372.318769604331,0.0,5169.461781446885,17204.1820462553,17204.1820462553,0.0,0.0,0.0,17204.1820462553,17204.1820462553,0.0,0.0,0.0,17204.1820462553,9.876544027065393e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-08,42-terminal-minimum,4-2,minimum,4,1979.2403329331314,1549.1398802039093,1979.2403329331314,1549.1398802039093,37352.40787456855,37352.40787456855,0.0,0.0,0.0,18631.276197310624,15478.424127277907,0.0,2622.393087869158,15720.571429239653,15720.571429239653,0.0,0.0,0.0,15720.571429239653,15720.571429239653,0.0,0.0,0.0,15720.571429239653,1.0231815394945443e-12,7.105427357601002e-15,0.0,2.183142555622908e-12,0.0,9.094947017729282e-13
2025-02-09,42-terminal-minimum,4-2,minimum,4,1549.1398802039093,1295.8601155154035,1549.1398802039093,1295.8601155154035,82742.7419978524,82742.7419978524,0.0,0.0,0.0,22534.593316283786,18480.972374409524,869.4416168044761,3.1467061159419245,58021.764091708246,58021.764091708246,0.0,0.0,4569.219607624133,62590.98369933238,62590.98369933238,0.0,869.4416168044773,5657.725293679229,63679.489385387475,1.0089706847793423e-12,1.1368683772161603e-13,0.0,3.637978807091713e-12,0.0,9.094947017729282e-13
2025-02-10,42-terminal-minimum,4-2,minimum,4,1295.8601155154035,1503.2551008390726,1295.8601155154035,1503.2551008390726,83832.52560773189,83832.52560773189,0.0,0.0,0.0,21034.935745779894,16851.64246729041,0.0,5322.594745909095,57283.549490511155,57283.549490511155,0.0,0.0,0.0,57283.549490511155,57283.549490511155,0.0,0.0,0.0,57283.549490511155,1.0231815394945443e-12,5.684341886080802e-14,0.0,3.637978807091713e-12,0.0,9.094947017729282e-13
