date,config,branch,terminal_mode,updates_solved,dp_initial_soc_kwh,dp_terminal_soc_kwh,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,g0_energy_kwh,geff_energy_kwh,adjust_up_energy_kwh,adjust_down_energy_kwh,adjust_abs_energy_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_energy_kwh,dp_unused_kwh,plan_cost_yuan,effective_base_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_total_cost_alt_yuan,billing_identity_residual_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_simultaneous_product_kwh2,dp_max_convexity_violation,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-02-01,43-no-adjustment,4-3,overnight,4,6000.0,10622.704486680683,6000.0,10622.704486680683,47452.16048349501,47452.16048349501,0.0,0.0,0.0,23522.537874423957,14892.821640270791,0.0,4444.268316008513,19889.289116272623,19889.289116272623,0.0,0.0,0.0,19889.289116272623,19889.289116272623,0.0,0.0,0.0,19889.289116272623,8.810729923425242e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-02,43-no-adjustment,4-3,overnight,4,10622.704486680683,10800.0,10622.704486680683,10800.0,88771.37047474197,88771.37047474197,0.0,0.0,0.0,20141.79870314549,16155.29098756046,0.0,6428.584809156948,62744.20051331717,62744.20051331717,0.0,0.0,0.0,62744.20051331717,62744.20051331717,0.0,0.0,0.0,62744.20051331717,9.841016890277388e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,8.86402062860725e-13
2025-02-03,43-no-adjustment,4-3,overnight,4,10800.0,10239.53875404557,10800.0,10239.53875404557,84899.04440800197,84899.04440800197,0.0,0.0,0.0,21617.071315253233,18014.242886714106,0.0,1079.2994794628544,60954.106332848394,60954.106332848394,0.0,0.0,0.0,60954.106332848394,60954.106332848394,0.0,0.0,0.0,60954.106332848394,9.978684545330907e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-04,43-no-adjustment,4-3,overnight,4,10239.53875404557,9893.742910975605,10239.53875404557,9893.742910975605,85704.99682681018,85704.99682681018,0.0,0.0,0.0,22633.73371386954,18644.540566997297,0.0,520.9397299379398,61451.84256633475,61451.84256633475,0.0,0.0,0.0,61451.84256633475,61451.84256633475,0.0,0.0,0.0,61451.84256633475,1.0107470416187425e-12,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-05,43-no-adjustment,4-3,overnight,4,9893.742910975605,10251.598111834646,9893.742910975605,10251.598111834646,85170.18006879538,85170.18006879538,0.0,0.0,0.0,23237.84366891037,18500.583691044267,355.312296362153,39.805403958104534,60698.18528460624,60698.18528460624,0.0,0.0,1950.169324114823,62648.35460872106,62648.35460872106,0.0,355.3122963621524,1915.8065012138195,62613.99178582006,1.0231815394945443e-12,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-06,43-no-adjustment,4-3,overnight,4,10251.598111834646,10379.64891803457,10251.598111834646,10379.64891803457,86276.75535939155,86276.75535939155,0.0,0.0,0.0,22121.77493396068,17803.39197092822,18.492480730059242,1705.8076604224866,61602.4408265355,61602.4408265355,0.0,0.0,133.79309808197863,61736.23392461748,61736.23392461748,0.0,18.49248073005856,133.79309808197368,61736.233924617474,1.0231815394945443e-12,3.552713678800501e-15,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-07,43-no-adjustment,4-3,overnight,4,10379.64891803457,10535.548144528973,10379.64891803457,10535.548144528973,41053.59142812161,41053.59142812161,0.0,0.0,0.0,19263.67188610868,15463.26492390307,0.0,5447.504799249342,17335.567647154083,17335.567647154083,0.0,0.0,0.0,17335.567647154083,17335.567647154083,0.0,0.0,0.0,17335.567647154083,1.0231815394945443e-12,1.1368683772161603e-13,0.0,2.183142555622908e-12,0.0,9.094947017729282e-13
2025-02-08,43-no-adjustment,4-3,overnight,4,10535.548144528973,10022.986183371964,10535.548144528973,10022.986183371964,37116.35475619244,37116.35475619244,0.0,0.0,0.0,19525.76894209163,16277.178608135524,0.0,2290.601705569681,15432.69680058584,15432.69680058584,0.0,0.0,0.0,15432.69680058584,15432.69680058584,0.0,0.0,0.0,15432.69680058584,1.0231815394945443e-12,2.842170943040401e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-09,43-no-adjustment,4-3,overnight,4,10022.986183371964,9733.333627995482,10022.986183371964,9733.333627995482,83476.21165642618,83476.21165642618,0.0,0.0,0.0,23056.874427918072,18936.75558645247,205.14125674925728,5.818105043168771,58250.32235276305,58250.32235276305,0.0,0.0,1010.2969488644575,59260.61930162751,59260.61930162751,0.0,205.14125674925776,1305.4040941453372,59555.72644690838,9.85878045867139e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,8.86402062860725e-13
2025-02-10,43-no-adjustment,4-3,overnight,4,9733.333627995482,10156.438564203492,9733.333627995482,10156.438564203492,83609.57002253563,83609.57002253563,0.0,0.0,0.0,21376.56869750122,16934.22620238878,0.0,4840.589944089856,57066.378603592486,57066.378603592486,0.0,0.0,0.0,57066.378603592486,57066.378603592486,0.0,0.0,0.0,57066.378603592486,1.0018652574217413e-12,5.684341886080802e-14,0.0,2.183142555622908e-12,0.0,9.094947017729282e-13
