config,branch,initial_soc_kwh,terminal_mode,terminal_value_coefficient,terminal_reference_scenario_mean,terminal_efficiency_basis,scenario_mean_price_min,scenario_mean_price_median,issue_date,issue_hour,kind,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,max_delta_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
43-no-adjustment,4-3,6000.0,overnight,0.4114340068402883,0.37029060615625947,charge,0.2960410378220992,0.7478261273792299,2025-02-01,0,original,16679.848724310745,28,Optimal,0.3549917999916943,False,False,1.1368683772161603e-13,3.524291969370097e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,641.1209750635165,0.0,10621,0,
43-no-adjustment,4-3,10219.47155158344,overnight,0.522939448550431,0.4706455036953878,charge,0.2987112272418642,0.7487860875911908,2025-02-01,6,fixed_current_value_refresh,18535.14405417652,28,Optimal,0.2419143000006443,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,9235,0,
43-no-adjustment,4-3,6550.0,overnight,0.5254812153602633,0.472933093824237,charge,0.18700068714647758,0.6352492055267702,2025-02-01,12,fixed_current_value_refresh,32186.609746123228,28,Optimal,0.4477269999915734,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,10540,0,
43-no-adjustment,4-3,10323.922222222222,overnight,0.5208890344438905,0.4688001309995014,charge,0.34148246323024856,0.9172808299513635,2025-02-01,18,fixed_current_value_refresh,44356.84901091587,28,Optimal,0.5099417000019457,False,False,1.1368683772161603e-13,2.8421709430404007e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,10761,0,
43-no-adjustment,4-3,10622.704486680683,overnight,0.5254144003106239,0.47287296027956155,charge,0.37650797911623346,0.9614305795346247,2025-02-02,0,original,59792.558376412606,29,Optimal,0.8968998000054853,False,False,2.808064891723916e-11,3.092281986027956e-11,0.0,0.0,0.0,1199.9999999999998,10800.0,833.3333333333334,833.3333333333334,2.2737367544323206e-13,14118,0,
43-no-adjustment,4-3,10800.0,overnight,0.5236426670116183,0.4712784003104565,charge,0.34856244824592897,0.9259344590563241,2025-02-02,6,fixed_current_value_refresh,56206.101351385485,29,Optimal,0.3728447000030428,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.0231815394945443e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,1.0231815394945443e-12,9601,0,
43-no-adjustment,4-3,7900.0,overnight,0.5245376593148758,0.4720838933833883,charge,0.34415719137030604,0.9189888698410154,2025-02-02,12,fixed_current_value_refresh,58063.502068638336,29,Optimal,0.6235210999875562,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,-1.0231815394945443e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,1.0231815394945443e-12,10594,0,
43-no-adjustment,4-3,10800.0,overnight,0.5223120138327331,0.4700808124494598,charge,0.38970167914857445,0.9622268252829896,2025-02-02,18,fixed_current_value_refresh,54252.760226986335,29,Optimal,0.7099391000083415,False,False,1.1368683772161603e-13,1.5916157281026244e-12,0.0,0.0,-1.0231815394945443e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,1.0231815394945443e-12,11036,0,
43-no-adjustment,4-3,10800.0,overnight,0.5155236640139923,0.4639712976125931,charge,0.3699182012259506,0.9440227006427866,2025-02-03,0,original,55683.98729576446,30,Optimal,1.1694514999981038,False,False,3.9335645851679146e-11,4.3655745685100555e-11,0.0,0.0,-5.4569682106375694e-12,1200.0,10800.000000000002,833.3333333333334,833.3333333333334,5.4569682106375694e-12,14607,0,
43-no-adjustment,4-3,10641.590252466423,overnight,0.5137718813815755,0.4623946932434179,charge,0.3766728635749665,0.9519318385382614,2025-02-03,6,fixed_current_value_refresh,55444.4435019876,30,Optimal,0.3075021000113338,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.1368683772161603e-13,1200.0,10800.0,833.3333333333334,833.3333333333334,1.1368683772161603e-13,9853,0,
