config,branch,initial_soc_kwh,terminal_mode,terminal_value_coefficient,terminal_reference_scenario_mean,terminal_efficiency_basis,scenario_mean_price_min,scenario_mean_price_median,issue_date,issue_hour,kind,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,max_delta_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
43-terminal-median,4-3,6000.0,median,0.673043514641307,0.7478261273792299,discharge_sensitivity,0.2960410378220992,0.7478261273792299,2025-02-01,0,original,13934.169357750126,28,Optimal,0.4092767999973148,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,641.1209750635165,0.0,10826,0,
43-terminal-median,4-3,10219.47155158344,median,0.6739074788320717,0.7487860875911908,discharge_sensitivity,0.2987112272418642,0.7487860875911908,2025-02-01,6,rolling,17148.01430705019,28,Optimal,0.31334659999993164,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333335,833.3333333333334,1.1368683772161603e-13,9813,0,
43-terminal-median,4-3,6560.0,median,0.5717242849740932,0.6352492055267702,discharge_sensitivity,0.18700068714647758,0.6352492055267702,2025-02-01,12,rolling,31929.72254722852,28,Optimal,0.40936649999639485,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,1.1368683772161603e-13,10668,0,
43-terminal-median,4-3,10323.922222222222,median,0.8255527469562272,0.9172808299513635,discharge_sensitivity,0.34148246323024856,0.9172808299513635,2025-02-01,18,rolling,43250.027599358524,28,Optimal,0.4700282999983756,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,1.1368683772161603e-13,10962,0,
43-terminal-median,4-3,10800.0,median,0.8652875215811623,0.9614305795346247,discharge_sensitivity,0.37650797911623346,0.9614305795346247,2025-02-02,0,original,56144.90770316353,29,Optimal,0.9544832999963546,False,False,5.5138116294983774e-12,5.002220859751105e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,14722,0,
43-terminal-median,4-3,10800.0,median,0.8333410131506918,0.9259344590563241,discharge_sensitivity,0.34856244824592897,0.9259344590563241,2025-02-02,6,rolling,53322.77275064262,29,Optimal,0.41130179999163374,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.1368683772161603e-13,1200.0,10800.0,833.3333333333335,833.3333333333334,1.1368683772161603e-13,11052,0,
43-terminal-median,4-3,7880.0,median,0.8270899828569138,0.9189888698410154,discharge_sensitivity,0.34415719137030604,0.9189888698410154,2025-02-02,12,rolling,56669.504952630086,29,Optimal,0.5741887000040151,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,5.684341886080802e-14,11808,0,
43-terminal-median,4-3,10800.0,median,0.8660041427546907,0.9622268252829896,discharge_sensitivity,0.38970167914857445,0.9622268252829896,2025-02-02,18,rolling,52960.450948186604,29,Optimal,0.5433767000067746,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11768,0,
43-terminal-median,4-3,10800.0,median,0.849620430578508,0.9440227006427866,discharge_sensitivity,0.3699182012259506,0.9440227006427866,2025-02-03,0,original,52187.270821937534,30,Optimal,0.778929700012668,False,False,6.093614501878619e-11,5.501732402990456e-11,0.0,0.0,-3.2017055673350114e-11,1200.0,10800.0,833.3333333333334,833.3333333333334,3.2017055673350114e-11,13139,0,
43-terminal-median,4-3,10648.209917110238,median,0.8567386546844352,0.9519318385382614,discharge_sensitivity,0.3766728635749665,0.9519318385382614,2025-02-03,6,rolling,52255.689335441304,30,Optimal,0.5137034000072163,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-6.821210263296962e-13,1200.0,10800.0,833.3333333333335,833.3333333333334,6.821210263296962e-13,11512,0,
