config,branch,initial_soc_kwh,terminal_mode,terminal_value_coefficient,terminal_reference_scenario_mean,terminal_efficiency_basis,scenario_mean_price_min,scenario_mean_price_median,issue_date,issue_hour,kind,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,max_delta_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
43-terminal-minimum,4-3,6000.0,minimum,0.2664369340398893,0.2960410378220992,discharge_sensitivity,0.2960410378220992,0.7478261273792299,2025-02-01,0,original,17338.5164344214,28,Optimal,0.34245759999612346,False,False,1.1368683772161603e-13,5.4569682106375694e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,641.1209750635165,0.0,10632,0,
43-terminal-minimum,4-3,10210.243766333797,minimum,0.2688401045176778,0.2987112272418642,discharge_sensitivity,0.2987112272418642,0.7487860875911908,2025-02-01,6,rolling,20201.987722213795,28,Optimal,0.2934096000099089,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,9874,0,
43-terminal-minimum,4-3,6790.0,minimum,0.16830061843182983,0.18700068714647758,discharge_sensitivity,0.18700068714647758,0.6352492055267702,2025-02-01,12,rolling,33858.02277918753,28,Optimal,0.4358511000027647,False,False,1.1368683772161603e-13,1.3393730569077889e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,10741,0,
43-terminal-minimum,4-3,10323.922222222222,minimum,0.30733421690722373,0.34148246323024856,discharge_sensitivity,0.34148246323024856,0.9172808299513635,2025-02-01,18,rolling,45581.20767071031,28,Optimal,0.4785849000036251,False,False,1.1368683772161603e-13,1.0764722446765518e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,10921,0,
43-terminal-minimum,4-3,1982.138122792455,minimum,0.3388571812046101,0.37650797911623346,discharge_sensitivity,0.37650797911623346,0.9614305795346247,2025-02-02,0,original,64881.81200063519,29,Optimal,0.770175300000119,False,False,1.8895995879120164e-11,2.2804869104220415e-11,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,13599,0,
43-terminal-minimum,4-3,10800.0,minimum,0.3137062034213361,0.34856244824592897,discharge_sensitivity,0.34856244824592897,0.9259344590563241,2025-02-02,6,rolling,57222.25351469063,29,Optimal,0.3813028000004124,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.2505552149377763e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,1.2505552149377763e-12,11067,0,
43-terminal-minimum,4-3,7900.0,minimum,0.3097414722332754,0.34415719137030604,discharge_sensitivity,0.34415719137030604,0.9189888698410154,2025-02-02,12,rolling,59003.691466714365,29,Optimal,0.4771434000140289,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.2505552149377763e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,1.2505552149377763e-12,11486,0,
43-terminal-minimum,4-3,10799.755893982174,minimum,0.35073151123371704,0.38970167914857445,discharge_sensitivity,0.38970167914857445,0.9622268252829896,2025-02-02,18,rolling,54819.53811869041,29,Optimal,0.5599493000045186,False,False,1.1368683772161603e-13,1.0658141036401503e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,12268,0,
43-terminal-minimum,4-3,2297.2175090998585,minimum,0.33292638110335554,0.3699182012259506,discharge_sensitivity,0.3699182012259506,0.9440227006427866,2025-02-03,0,original,60596.50508915878,30,Optimal,0.7277739999990445,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,13773,0,
43-terminal-minimum,4-3,10618.841180394342,minimum,0.3390055772174698,0.3766728635749665,discharge_sensitivity,0.3766728635749665,0.9519318385382614,2025-02-03,6,rolling,56066.47059335254,30,Optimal,0.3887875999935204,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11452,0,
43-terminal-minimum,4-3,7276.953256141903,minimum,0.3195495843021483,0.3550550936690537,discharge_sensitivity,0.3550550936690537,0.9288350130455258,2025-02-03,12,rolling,56356.08293065535,30,Optimal,0.4402933999954257,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11894,0,
43-terminal-minimum,4-3,10655.160629332095,minimum,0.3345843262319918,0.3717603624799909,discharge_sensitivity,0.3717603624799909,0.9469285127029607,2025-02-03,18,rolling,52602.53469036431,30,Optimal,0.5181918000016594,False,False,5.115907697472721e-13,4.956035581926699e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11653,0,
43-terminal-minimum,4-3,1691.167363044294,minimum,0.33645930546557695,0.37384367273952995,discharge_sensitivity,0.37384367273952995,0.9497821748156183,2025-02-04,0,original,61534.72985118365,30,Optimal,0.6992445000068983,False,False,9.691802915767767e-12,1.0913936421275139e-11,0.0,0.0,-2.984279490192421e-13,1200.0,10800.0,833.3333333333334,833.3333333333334,2.984279490192421e-13,13631,0,
43-terminal-minimum,4-3,10787.155847464914,minimum,0.3361036839738031,0.3734485377486701,discharge_sensitivity,0.3734485377486701,0.9472278887480823,2025-02-04,6,rolling,55934.73677036903,30,Optimal,0.3611702000052901,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11442,0,
43-terminal-minimum,4-3,6579.926866974049,minimum,0.36171005554684493,0.40190006171871656,discharge_sensitivity,0.40190006171871656,0.980063149698012,2025-02-04,12,rolling,57820.57969551097,30,Optimal,0.3758060999971349,False,False,1.1368683772161603e-13,1.5214496329463145e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,831.6162394451817,0.0,12006,0,
43-terminal-minimum,4-3,10163.857126296596,minimum,0.31517387651711604,0.3501931961301289,discharge_sensitivity,0.3501931961301289,0.9325410982623796,2025-02-04,18,rolling,52661.178378112716,30,Optimal; tiebreak=Optimal,1.6318369999935385,True,False,2.0250467969162855e-12,3.558930927738402e-12,0.0,0.0,-2.0463630789890885e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,2.0463630789890885e-12,13519,0,
43-terminal-minimum,4-3,1507.8832824345927,minimum,0.33426059659176494,0.37140066287973883,discharge_sensitivity,0.37140066287973883,0.9415895305897424,2025-02-05,0,original,60547.192754991105,30,Optimal,0.6427524000027915,False,False,8.981260180007666e-11,1.000444171950221e-10,0.0,0.0,-1.5660361896152678e-13,1200.0,10800.0,833.3333333333334,831.2340328403216,1.5660361896152678e-13,12922,0,
43-terminal-minimum,4-3,10155.82632038577,minimum,0.3373590255815468,0.37484336175727423,discharge_sensitivity,0.37484336175727423,0.9473173213210402,2025-02-05,6,rolling,56747.506952446165,30,Optimal,0.3486084000032861,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-8.981260180007666e-11,1200.0,10800.0,833.3333333333334,833.3333333333334,8.981260180007666e-11,11235,0,
43-terminal-minimum,4-3,5916.584502876787,minimum,0.33762600942073395,0.37514001046748213,discharge_sensitivity,0.37514001046748213,0.9506842938106861,2025-02-05,12,rolling,58583.67878909559,30,Optimal,0.4685447999945609,False,False,1.1368683772161603e-13,1.0231815394945443e-12,-0.0,0.0,0.0,1199.999999999997,10800.0,833.3333333333334,833.3333333333334,2.9558577807620168e-12,11666,0,
43-terminal-minimum,4-3,10764.340825214404,minimum,0.3038255622405706,0.33758395804507846,discharge_sensitivity,0.33758395804507846,0.9193485712762093,2025-02-05,18,rolling,50813.07225697211,30,Optimal,0.45725400000810623,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11824,0,
43-terminal-minimum,4-3,1524.1459159265335,minimum,0.3330235325735136,0.370026147303904,discharge_sensitivity,0.370026147303904,0.9454039064110782,2025-02-06,0,original,61891.66202499117,30,Optimal,0.712381599994842,False,False,1.318767317570746e-11,7.275957614183426e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,13250,0,
43-terminal-minimum,4-3,10682.681617213726,minimum,0.28911327999702835,0.32123697777447596,discharge_sensitivity,0.32123697777447596,0.9583178410698393,2025-02-06,6,rolling,53098.48658599627,30,Optimal,0.4132724000082817,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11454,0,
43-terminal-minimum,4-3,7751.667006750994,minimum,0.2922336586464044,0.32470406516267153,discharge_sensitivity,0.32470406516267153,0.8192971559740615,2025-02-06,12,rolling,41492.24148195684,30,Optimal,0.3708870999980718,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,776.0093507229859,0.0,11378,0,
43-terminal-minimum,4-3,10742.40102514853,minimum,0.2890710165761499,0.32119001841794437,discharge_sensitivity,0.32119001841794437,0.7610279548226653,2025-02-06,18,rolling,20354.66428936672,30,Optimal,0.2790455999929691,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,776.0093507229859,0.0,11422,0,
43-terminal-minimum,4-3,1554.3620180879564,minimum,0.2609825504983482,0.2899806116648313,discharge_sensitivity,0.2899806116648313,0.7374784069861606,2025-02-07,0,original,17908.55060183291,30,Optimal; tiebreak=Optimal,1.2655030000023544,True,False,2.4300561562995426e-12,4.263256414560601e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,613.9355366163086,0.0,12562,0,
43-terminal-minimum,4-3,10212.79488037526,minimum,0.26162656253459027,0.29069618059398916,discharge_sensitivity,0.29069618059398916,0.7364963359230379,2025-02-07,6,rolling,14395.685499563026,30,Optimal,0.27228560000366997,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,10269,0,
43-terminal-minimum,4-3,7370.0,minimum,0.1860564817732191,0.20672942419246565,discharge_sensitivity,0.20672942419246565,0.6368659743869041,2025-02-07,12,rolling,14395.706740137011,30,Optimal,0.38283550000051036,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,616.5697878886425,0.0,11037,0,
43-terminal-minimum,4-3,10290.618518518519,minimum,0.28915623540105845,0.32128470600117603,discharge_sensitivity,0.32128470600117603,0.7554047391648429,2025-02-07,18,rolling,12493.144941244595,30,Optimal,0.28353689999494236,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,10795,0,
43-terminal-minimum,4-3,1968.0631294783361,minimum,0.25056118282633844,0.2784013142514871,discharge_sensitivity,0.2784013142514871,0.7119356016402876,2025-02-08,0,original,15126.74639160001,30,Optimal,0.3055997999908868,False,False,1.9777246507146629e-10,2.665663245693395e-10,0.0,0.0,-1.1246044095969416e-11,1200.0,10800.0,833.3333333333334,691.2568165305025,1.1246044095969416e-11,11536,0,
43-terminal-minimum,4-3,8561.609965229036,minimum,0.2620673173420499,0.29118590815783324,discharge_sensitivity,0.29118590815783324,0.7277208822056714,2025-02-08,6,rolling,17647.990744077662,30,Optimal,0.35658130000228994,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,10547,0,
43-terminal-minimum,4-3,6550.0,minimum,0.2439345012053764,0.27103833467264044,discharge_sensitivity,0.27103833467264044,0.7086416364775465,2025-02-08,12,rolling,31100.061020018296,30,Optimal,0.49112659999809694,False,False,1.1368683772161603e-13,1.3713474800169934e-12,0.0,0.0,-7.332801033044234e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,7.332801033044234e-12,11375,0,
43-terminal-minimum,4-3,9893.396857549233,minimum,0.34929318486889904,0.3881035387432212,discharge_sensitivity,0.3881035387432212,0.8892816985348366,2025-02-08,18,rolling,42899.38747765565,30,Optimal,0.5748095000017202,False,False,1.1368683772161603e-13,1.1368683772161603e-12,0.0,0.0,-7.332801033044234e-12,1199.9999999999948,10800.0,833.3333333333334,833.3333333333334,7.332801033044234e-12,12013,0,
43-terminal-minimum,4-3,1440.0465403225255,minimum,0.3300017782474171,0.3666686424971301,discharge_sensitivity,0.3666686424971301,0.9325671279987264,2025-02-09,0,original,57802.065766079395,30,Optimal,0.7254224000062095,False,False,2.7694113668985665e-10,1.6007106751203537e-10,0.0,0.0,-7.454389105987509e-11,1200.0,10800.0,833.3333333333334,833.3333333333334,7.454389105987509e-11,13164,0,
43-terminal-minimum,4-3,10713.831521572349,minimum,0.33895047061536,0.37661163401706665,discharge_sensitivity,0.37661163401706665,0.9434492559816589,2025-02-09,6,rolling,53615.8003980122,30,Optimal,0.42277020000619814,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,1199.999999999933,10800.0,833.3333333333334,833.3333333333334,6.707523425575346e-11,11514,0,
43-terminal-minimum,4-3,6516.135906216373,minimum,0.36384918899363317,0.4042768766595924,discharge_sensitivity,0.4042768766595924,0.9862975576405981,2025-02-09,12,rolling,57307.89990902509,30,Optimal,0.44864610000513494,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-7.457856554538012e-11,1199.9999999999839,10800.0,833.3333333333334,833.3333333333334,7.457856554538012e-11,11522,0,
43-terminal-minimum,4-3,10412.755783297973,minimum,0.29786773900963565,0.3309641544551507,discharge_sensitivity,0.3309641544551507,0.9104453281657466,2025-02-09,18,rolling,47432.33091175782,30,Optimal,0.5639794000016991,False,False,1.1368683772161603e-13,1.6042475989605818e-11,0.0,0.0,-1.0889067425523535e-11,1200.0,10800.0,833.3333333333334,833.3333333333334,1.6042475989605818e-11,11973,0,
43-terminal-minimum,4-3,1375.2696079453553,minimum,0.3309253889148806,0.36769487657208955,discharge_sensitivity,0.36769487657208955,0.9364028612020565,2025-02-10,0,original,57848.93269990105,30,Optimal,0.8595228000049246,False,False,3.169589035678655e-10,2.708020474528894e-10,0.0,0.0,-1.9200443704095205e-13,1199.9999999999989,10800.0,833.3333333333334,833.3333333333334,1.1368683772161603e-12,13591,0,
43-terminal-minimum,4-3,10397.260283451948,minimum,0.32559948683221884,0.36177720759135423,discharge_sensitivity,0.36177720759135423,0.9276677267947764,2025-02-10,6,rolling,51921.02743388091,30,Optimal,0.4132231999974465,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1199.9999999997292,10800.0,833.3333333333334,833.3333333333334,2.708020474528894e-10,11548,0,
43-terminal-minimum,4-3,7780.0,minimum,0.32537321654349827,0.3615257961594425,discharge_sensitivity,0.3615257961594425,0.9228221543737298,2025-02-10,12,rolling,52481.860618958075,30,Optimal,0.3987672999937786,False,False,2.2737367544323206e-13,9.663381206337363e-13,0.0,0.0,-2.2532731236424297e-10,1200.0,10800.0,833.3333333333334,833.3333333333334,2.2532731236424297e-10,11569,0,
43-terminal-minimum,4-3,10748.792805237816,minimum,0.2924068911953063,0.3248965457725625,discharge_sensitivity,0.3248965457725625,0.9006103543356758,2025-02-10,18,rolling,46299.99860029226,30,Optimal,0.4301716999907512,False,False,9.094947017729282e-11,1.1179205709292242e-10,0.0,0.0,-2.2964741219766438e-11,1200.0,10800.0,833.3333333333334,833.3333333333334,1.1179205709292243e-10,11467,0,
43-terminal-minimum,4-3,1353.8985982852405,minimum,0.3293942488525718,0.3659936098361909,discharge_sensitivity,0.3659936098361909,0.9273872201101648,2025-02-11,0,original,55582.084263653334,30,Optimal,0.6382937000016682,False,False,7.73070496506989e-12,1.3642420526593924e-11,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,13054,0,
43-terminal-minimum,4-3,10746.435610814162,minimum,0.3149212744760309,0.3499125271955899,discharge_sensitivity,0.3499125271955899,0.9080090541461354,2025-02-11,6,rolling,49083.89873613233,30,Optimal,0.42924199999833945,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1199.9999999999998,10800.0,833.3333333333334,833.3333333333334,2.2737367544323206e-13,11509,0,
43-terminal-minimum,4-3,6607.237928204776,minimum,0.34531900167201035,0.38368777963556705,discharge_sensitivity,0.38368777963556705,0.9413522633745985,2025-02-11,12,rolling,51459.33657918127,30,Optimal,0.500115700007882,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11387,0,
43-terminal-minimum,4-3,10777.979927723898,minimum,0.3601793038198077,0.40019922646645295,discharge_sensitivity,0.40019922646645295,0.9401755476851703,2025-02-11,18,rolling,47628.82399632323,30,Optimal,0.5127216999972006,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-5.684341886080801e-13,1199.9999999999998,10800.0,833.3333333333334,833.3333333333334,5.684341886080801e-13,11720,0,
43-terminal-minimum,4-3,1458.1362002401243,minimum,0.32824967614640227,0.3647218623848914,discharge_sensitivity,0.3647218623848914,0.9254565960142664,2025-02-12,0,original,54953.991996793484,30,Optimal,0.755517300000065,False,False,3.524291969370097e-12,1.6200374375330284e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,13624,0,
43-terminal-minimum,4-3,10574.153362486937,minimum,0.35307311173568223,0.39230345748409134,discharge_sensitivity,0.39230345748409134,0.9646986798423888,2025-02-12,6,rolling,51538.26036464803,30,Optimal,0.4078585999959614,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11250,0,
43-terminal-minimum,4-3,7423.7168928570845,minimum,0.33132617378455365,0.36814019309394846,discharge_sensitivity,0.36814019309394846,0.9235100180753486,2025-02-12,12,rolling,49959.206875943884,30,Optimal,0.4291739000036614,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,12404,0,
43-terminal-minimum,4-3,10388.024881205993,minimum,0.3317012961460601,0.36855699571784456,discharge_sensitivity,0.36855699571784456,0.9288562347256016,2025-02-12,18,rolling,46620.84972614175,30,Optimal; tiebreak=Optimal,1.6531986000190955,True,False,1.0942358130705543e-12,4.860112312599085e-12,0.0,0.0,-1.1368683772161603e-13,1200.0,10800.0,833.3333333333334,833.3333333333334,1.1368683772161603e-13,12378,0,
43-terminal-minimum,4-3,1338.9046168204045,minimum,0.3270212469749966,0.36335694108332955,discharge_sensitivity,0.36335694108332955,0.9208447920267224,2025-02-13,0,original,53517.69398467787,30,Optimal,0.7150084999884712,False,False,8.86757334228605e-12,5.494271704264975e-12,0.0,0.0,-2.0463630789890883e-13,1199.9999999999998,10800.0,833.3333333333334,833.3333333333334,2.2737367544323206e-13,12756,0,
43-terminal-minimum,4-3,10246.815727044113,minimum,0.2756295294777434,0.3062550327530482,discharge_sensitivity,0.3062550327530482,0.91427459094975,2025-02-13,6,rolling,44257.09390364323,30,Optimal,0.39209500000288244,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,-6.139089236967266e-12,1199.9999999999932,10800.0,833.3333333333334,833.3333333333334,6.821210263296962e-12,11138,0,
43-terminal-minimum,4-3,7900.0,minimum,0.27681771984015635,0.3075752442668404,discharge_sensitivity,0.3075752442668404,0.7707707478907657,2025-02-13,12,rolling,34290.57881458043,30,Optimal,0.3906415000092238,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,-6.821210263296962e-13,1199.9999999999932,10800.0,833.3333333333334,786.0775939352073,6.821210263296962e-12,12068,0,
43-terminal-minimum,4-3,10740.855465808341,minimum,0.2790986380765637,0.31010959786284853,discharge_sensitivity,0.31010959786284853,0.7199285371993557,2025-02-13,18,rolling,17951.708421856212,30,Optimal,0.3068256999977166,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-6.139089236967266e-12,1199.9999999999932,10800.0,833.3333333333334,786.0775939352073,6.821210263296962e-12,11414,0,
43-terminal-minimum,4-3,1689.4187906211491,minimum,0.24655387674223442,0.273948751935816,discharge_sensitivity,0.273948751935816,0.6866374843876542,2025-02-14,0,original,13951.704796569351,30,Optimal,0.29047380000702105,False,False,7.855760486563668e-11,7.09405867382884e-11,0.0,0.0,-8.616791490860461e-12,1200.0,10800.0,833.3333333333334,559.2351344193397,8.616791490860461e-12,10965,0,
