date,config,branch,terminal_mode,updates_solved,dp_initial_soc_kwh,dp_terminal_soc_kwh,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,g0_energy_kwh,geff_energy_kwh,adjust_up_energy_kwh,adjust_down_energy_kwh,adjust_abs_energy_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_energy_kwh,dp_unused_kwh,plan_cost_yuan,effective_base_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_total_cost_alt_yuan,billing_identity_residual_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_simultaneous_product_kwh2,dp_max_convexity_violation,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-02-01,43-terminal-zero,4-3,zero,4,6000.0,1851.4002398949349,6000.0,1851.4002398949349,37585.47892147711,37142.55344220984,195.02923389706734,637.9547131643288,832.9839470613963,14537.626266224559,15509.217059736453,0.0,3735.96830238841,16476.28241139616,16235.674499699699,-50.19079428854965,190.41711740791615,0.0,16426.091617107613,16426.091617107617,3.637978807091713e-12,0.0,0.0,16426.091617107613,9.734435479913373e-13,1.1368683772161603e-13,0.0,2.9096725029376103e-12,0.0,9.094947017729282e-13
2025-02-02,43-terminal-zero,4-3,zero,4,1851.4002398949349,2112.2368048122703,1851.4002398949349,2112.2368048122703,88725.48600322675,87917.52094755397,0.0,807.9650556727554,807.9650556727554,20554.29349830097,16414.224825198184,0.0,5421.174324451195,62926.26849641627,62270.35270426837,-327.95789607395,327.95789607395,0.0,62598.310600342316,62598.31060034232,7.275957614183426e-12,0.0,0.0,62598.310600342316,1.0089706847793423e-12,1.1368683772161603e-13,0.0,3.637978807091713e-12,0.0,9.094947017729282e-13
2025-02-03,43-terminal-zero,4-3,zero,4,2112.2368048122703,1512.8134416445882,2112.2368048122703,1512.8134416445882,84968.23666088452,84580.28716075077,91.49509418434235,479.4445943180789,570.9396885024213,21826.491487148865,18218.939131441497,0.0,755.8183050434043,60943.79838055861,60527.86361106069,-168.82348226332854,247.11128723459672,0.0,60774.97489829528,60774.97489829529,7.275957614183426e-12,0.0,0.0,60774.97489829528,9.841016890277388e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-04,43-terminal-zero,4-3,zero,4,1512.8134416445882,1513.1198871017,1512.8134416445882,1513.1198871017,85831.32297627506,86082.3832806297,427.09930058606716,176.03899623142746,603.1382968174946,23298.568094210754,18871.564355399314,0.0,460.51559181824786,61358.35924347662,61477.29383113869,350.7345991539019,231.80001149182957,0.0,61709.09384263052,61709.09384263052,0.0,0.0,0.0,61709.09384263052,9.983125437429408e-13,5.684341886080802e-14,0.0,2.9114488597770105e-12,0.0,9.094947017729282e-13
2025-02-05,43-terminal-zero,4-3,zero,4,1513.1198871017,1442.376452899975,1513.1198871017,1442.376452899975,85018.32178506134,86016.41597529809,1029.1831289805593,31.088938743794984,1060.2720677243542,23457.91474671512,19064.5800356208,26.47958333333395,901.1338642037956,60894.58452075967,61679.02512426296,1216.306203127125,431.8655996238377,183.34463500000427,62294.2353588868,62294.2353588868,0.0,26.479583333333267,183.34463499999956,62294.2353588868,8.970602038971265e-13,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,8.597567102697212e-13
2025-02-06,43-terminal-zero,4-3,zero,4,1442.376452899975,1462.1044653802576,1442.376452899975,1462.1044653802576,86539.18483503518,85052.90623979793,0.0,1486.2785952372565,1486.2785952372565,22462.838945568867,18177.14433467853,18.492480730059242,514.6468929709978,61980.106241644,60735.76143982758,-622.1724009082131,622.1724009082131,133.79309808197863,61491.726938817774,61491.72693881777,7.275957614183426e-12,18.49248073005856,133.79309808197368,61491.72693881777,1.0231815394945443e-12,1.4210854715202004e-14,0.0,4.3653969328261155e-12,0.0,9.094947017729282e-13
2025-02-07,43-terminal-zero,4-3,zero,4,1462.1044653802576,1789.5154196701722,1462.1044653802576,1789.5154196701722,41252.93422211663,40669.34160323965,0.0,583.5926188769798,583.5926188769798,19412.39477047394,15429.36990522297,0.0,4880.637071322017,17417.190803814265,17192.73658401621,-112.22710989902792,112.22710989902792,0.0,17304.963693915237,17304.963693915237,0.0,0.0,0.0,17304.963693915237,9.876544027065393e-13,1.1368683772161603e-13,0.0,2.183142555622908e-12,0.0,9.094947017729282e-13
2025-02-08,43-terminal-zero,4-3,zero,4,1789.5154196701722,1394.9380685647004,1789.5154196701722,1394.9380685647004,36801.64585124127,37021.376170928976,219.73031968770258,0.0,219.73031968770258,18744.631535044216,15538.27115938074,0.0,2237.8530785988332,15461.503311102771,15543.746906743287,123.36539346077637,41.12179782025879,0.0,15584.868704563547,15584.868704563545,1.8189894035458565e-12,0.0,0.0,15584.868704563547,9.094947017729282e-13,2.842170943040401e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-09,43-terminal-zero,4-3,zero,4,1394.9380685647004,1368.2380351948432,1394.9380685647004,1368.2380351948432,83433.82512606194,84013.10054190899,579.275415847061,0.0,579.275415847061,23652.806873399444,19182.80359748642,36.712757372136934,24.39405670144231,58550.408353469684,58904.72223610927,531.4708239593921,177.15694131979734,199.98236502139073,59281.86154245046,59281.86154245047,7.275957614183426e-12,36.71275737213698,198.76951594662648,59280.6486933757,1.0089706847793423e-12,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-10,43-terminal-zero,4-3,zero,4,1368.2380351948432,1296.5413609305367,1368.2380351948432,1296.5413609305367,83420.92179186779,82540.64272206156,22.60517096221804,902.8842407684324,925.4894117306503,21004.43259280615,17078.11740701086,0.0,4287.689952932941,56970.199449857944,56299.902024010866,-326.25441065261145,344.0430151944748,0.0,56643.94503920533,56643.94503920534,7.275957614183426e-12,0.0,0.0,56643.94503920533,1.0231815394945443e-12,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
