config,branch,terminal_mode,adjust_purchases,refresh_value,update_hours,formal_days,total_cost_yuan,terminal_soc_kwh,emergency_energy_kwh,adjust_abs_energy_kwh,official_output,description
42-main,4-2,overnight,False,True,"0,6,12,18",334,14249879.708761035,9863.35024795216,138964.62222707932,0.0,True,4-2正式方案：0:00锁定普通购电，四次刷新储能价值；终值=次日凌晨窗口场景均价/eta_c
43-main,4-3,overnight,True,True,"0,6,12,18",334,13834165.69980434,9904.487919994348,67063.07164334577,240582.2710640688,True,4-3正式方案：四次普通购电调整与价值刷新；终值=次日凌晨窗口场景均价/eta_c
42-terminal-zero,4-2,zero,False,True,"0,6,12,18",334,14320982.206008043,1200.0,167182.09847741274,0.0,False,4-2终值代理v=0敏感性
42-terminal-minimum,4-2,minimum,False,True,"0,6,12,18",334,14289912.608522803,1311.9956030169583,154272.62117934797,0.0,False,4-2终值代理eta_d*min(场景均价)敏感性
42-terminal-median,4-2,median,False,True,"0,6,12,18",334,14319980.024509331,10347.356308562903,139289.94565510892,0.0,False,4-2终值代理eta_d*median(场景均价)敏感性
43-terminal-zero,4-3,zero,True,True,"0,6,12,18",334,13884172.306205355,1200.0,83723.51840842307,243849.73519135086,False,4-3终值代理v=0敏感性
43-terminal-minimum,4-3,minimum,True,True,"0,6,12,18",334,13863145.298632333,1311.9956030169599,77325.8878050941,239115.8228661855,False,4-3终值代理eta_d*min(场景均价)敏感性
43-terminal-median,4-3,median,True,True,"0,6,12,18",334,13906742.876746375,10435.156858317325,68343.33750541443,235851.7601715429,False,4-3终值代理eta_d*median(场景均价)敏感性
42-no-value-refresh,4-2,overnight,False,False,0,334,14249892.720669558,9863.35024795216,138832.63638542153,0.0,False,4-2反事实：0:00后不刷新储能价值
43-no-adjustment,4-3,overnight,False,True,"0,6,12,18",334,14107242.469480876,9904.487919994335,124788.22404758452,0.0,False,4-3反事实：普通购电锁定但四次刷新储能价值
43-no-value-refresh,4-3,overnight,True,False,"0,6,12,18",334,13839439.766986996,9904.487919994348,68245.25492183097,243544.06727832873,False,4-3反事实：照常滚动普通购电但执行器冻结0:00价值
