branch,month,days,total_cost_yuan,plan_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,emergency_cost_yuan,emergency_energy_kwh,terminal_soc_kwh
4-2,2,28,1245779.362593484,1221416.8271613845,0.0,0.0,24362.535432099783,4587.7223454875975,10197.334157302137
4-2,3,31,1122263.148025094,1067929.8568646729,0.0,0.0,54333.291160420995,9972.74191973055,10408.755993251296
4-2,4,30,953992.2701987509,867457.6206969375,0.0,0.0,86534.64950181328,14744.884540756655,10314.704838072948
4-2,5,31,943974.1116273279,884613.9842311253,0.0,0.0,59360.12739620249,11147.119080266302,3575.4531381228785
4-2,6,30,1458067.4628583267,1304624.5955930317,0.0,0.0,153442.8672652951,28492.62208035194,4593.1223054812335
4-2,7,31,1684980.5443167323,1588692.5540637611,0.0,0.0,96287.9902529712,16990.444006616573,4186.525054506394
4-2,8,31,1446617.9031170863,1309121.3073514167,0.0,0.0,137496.59576566957,20506.02919693321,2075.9442504485564
4-2,9,30,1126306.2936331509,1054950.8627657571,0.0,0.0,71355.43086739388,12642.434400708073,4790.334341014025
4-2,10,31,1096395.5609656929,1080805.9848973975,0.0,0.0,15589.576068295335,2895.0671107144444,9483.035189148304
4-2,11,30,1284311.5795145098,1274680.2598691133,0.0,0.0,9631.319645396521,1887.8286358215469,9721.201540327394
4-2,12,31,1887191.4719108795,1806387.5998180388,0.0,0.0,80803.87209284068,15097.728909692438,9863.35024795216
4-3,2,28,1228186.6029303079,1221042.9221800936,-1621.6215229508261,8126.831387382915,8765.30227316511,1726.9668495775218,10146.552526053758
4-3,3,31,1095432.775009824,1063306.815744618,5396.013171420152,9338.498760743245,26729.946093785657,5184.131219921995,10593.643228202523
4-3,4,30,894473.9004580338,862393.2249106849,13013.760910543611,7580.487019781864,19066.914636805326,3897.6211694471685,10260.668675444422
4-3,5,31,914243.0605916841,881084.7040280538,5430.0007889414655,4325.236604630823,27728.35577468883,5724.835409700736,3513.479196365873
4-3,6,30,1389378.6412291809,1296481.390171872,11873.276240610687,7256.4975136653065,81023.97481669826,16536.84446354234,4064.003282893481
4-3,7,31,1652436.6508894772,1581795.1079038454,8985.162852202157,9308.890281318147,61656.38013342975,11968.176009074816,4025.0652403121353
4-3,8,31,1371520.9579338036,1307731.4335426204,23442.652529135907,9702.97177105709,40346.87186204713,7294.018969409525,2063.448816553448
4-3,9,30,1087513.5937270375,1047929.8274964686,11289.833689919531,7784.846431644005,28293.932540649468,5692.749854076281,4768.778219438034
4-3,10,31,1081304.079650629,1075705.2902047401,2098.447778331406,6508.484780420195,3500.341667557485,736.4023018205869,9505.397406352835
4-3,11,30,1276995.6364459295,1268579.8092515632,4809.608826726437,7230.835580460835,3606.2183676397376,729.4108968898389,9746.568614713162
4-3,12,31,1842679.8009384326,1806728.4909074376,-304.78063618421885,12455.070567507759,36256.090667179225,7571.914499884959,9904.487919994348
