branch,date,interval_rank,physical_interval,emergency_energy_kwh
4-2,2025-03-20,1,15:30-17:30,549.1961639836903
4-2,2025-03-20,2,17:50-18:00,76.50653734839591
4-2,2025-03-20,3,19:50-20:00,54.72570086781252
4-2,2025-03-20,4,20:20-20:50,383.9787036396385
4-2,2025-03-20,5,21:20-21:40,48.4107631298393
4-2,2025-06-21,1,5:40-5:50,1.0104943138653084
4-2,2025-06-21,2,6:30-6:40,21.66029999999968
4-2,2025-06-21,3,7:00-7:20,74.25874999999996
4-2,2025-09-23,1,18:30-18:40,2.826316666666571
4-2,2025-09-23,2,20:30-21:10,484.86169759411933
4-2,2025-09-23,3,21:20-21:40,81.75506304905078
4-2,2025-12-21,1,无,0.0
4-3,2025-03-20,1,15:30-16:30,200.71127865292385
4-3,2025-03-20,2,16:40-17:30,85.18022948996281
4-3,2025-03-20,3,17:50-18:00,97.09503139617698
4-3,2025-03-20,4,20:20-20:40,136.14911821948806
4-3,2025-03-20,5,21:20-21:40,43.28153756131051
4-3,2025-06-21,1,5:40-5:50,49.33274833410724
4-3,2025-09-23,1,18:30-18:40,2.826316666666571
4-3,2025-09-23,2,20:30-21:10,141.92985268403208
4-3,2025-09-23,3,21:20-21:40,48.73083051512201
4-3,2025-12-21,1,无,0.0
