branch,date,plan_type,10:00-10:10,10:00-10:10_template_column,12:00-12:10,12:00-12:10_template_column,14:00-14:10,14:00-14:10_template_column,16:00-16:10,16:00-16:10_template_column,18:00-18:10,18:00-18:10_template_column,20:00-20:10,20:00-20:10_template_column,display_window_energy_kwh,display_window_plan_cost_yuan,display_window_adjustment_surcharge_yuan
4-2,2025-02-01,original,0.0,61,579.0549339894521,73,0.0,85,274.9475182625155,97,0.0,109,0.0,121,46832.68574283316,19717.784439906907,0.0
4-2,2025-02-02,original,0.0,61,906.4557127413435,73,0.0,85,762.5924805170444,97,696.4558201784522,109,0.0,121,88914.15326949846,62816.979288202856,0.0
4-2,2025-02-03,original,0.0,61,846.0551632555695,73,0.0,85,750.0144861248581,97,663.9574018994856,109,0.0,121,84250.18378940041,60400.58255501169,0.0
4-2,2025-02-04,original,0.0,61,865.1915544401332,73,0.0,85,749.4006463661146,97,675.5442580046854,109,0.0,121,84661.19970743945,60524.95334828011,0.0
4-2,2025-02-05,original,0.0,61,765.7340249650198,73,0.0,85,744.1689116958828,97,665.8555807413576,109,0.0,121,85713.71979953916,61084.38683956524,0.0
4-2,2025-02-06,original,0.0,61,812.5849794634527,73,0.0,85,720.2596180943503,97,690.4747952678018,109,0.0,121,85358.92570229436,60882.20771630813,0.0
4-2,2025-02-07,original,0.0,61,282.427469224486,73,0.0,85,259.5747528561029,97,0.0,109,0.0,121,40831.68804498077,17198.15429026052,0.0
4-2,2025-02-08,original,0.0,61,0.0,73,0.0,85,227.14863034083982,97,0.0,109,0.0,121,37811.72667480122,15786.773716228432,0.0
4-2,2025-02-09,original,0.0,61,718.1629496082625,73,0.0,85,715.4425829248811,97,677.2203378432744,109,0.0,121,82697.12048048756,57607.5092774963,0.0
4-2,2025-02-10,original,0.0,61,773.1449655809198,73,0.0,85,705.6934023239419,97,684.2967170642924,109,0.0,121,83821.41621992369,57317.755167356416,0.0
4-2,2025-02-11,original,0.0,61,714.7603650912864,73,0.0,85,697.4168225892672,97,673.3633694637376,109,0.0,121,80877.20270286532,55579.875507109624,0.0
4-2,2025-02-12,original,0.0,61,711.2645993544437,73,0.0,85,658.3946206462712,97,667.8377722604152,109,0.0,121,80058.67803531111,54866.9870881309,0.0
4-2,2025-02-13,original,0.0,61,660.5745946191597,73,0.0,85,678.5682434442583,97,673.5520806895341,109,0.0,121,79818.95614427287,53969.14140589954,0.0
4-2,2025-02-14,original,0.0,61,0.0,73,0.0,85,168.92223403118322,97,0.0,109,0.0,121,35338.999987678355,14576.634884456766,0.0
4-2,2025-02-15,original,0.0,61,0.0,73,0.0,85,197.18097224097517,97,0.0,109,0.0,121,35999.367791883924,15422.910939961463,0.0
4-2,2025-02-16,original,0.0,61,789.6210942810538,73,0.0,85,656.3315952513221,97,605.643281401157,109,0.0,121,79937.270938158,54237.9821527281,0.0
4-2,2025-02-17,original,0.0,61,742.2494750450967,73,0.0,85,673.2537313627183,97,584.3954229242198,109,0.0,121,80761.47493708823,54873.38178245376,0.0
4-2,2025-02-18,original,0.0,61,729.900624003709,73,0.0,85,641.7680305999122,97,0.0,109,0.0,121,78041.48156890768,51977.63449027871,0.0
4-2,2025-02-19,original,0.0,61,714.549784557741,73,0.0,85,631.4247788484736,97,0.0,109,0.0,121,77219.38794995472,51441.70952490726,0.0
4-2,2025-02-20,original,0.0,61,677.2225785470717,73,0.0,85,646.2865507488993,97,0.0,109,0.0,121,78080.04227198282,52200.148202070035,0.0
4-2,2025-02-21,original,0.0,61,0.0,73,0.0,85,124.62347406434901,97,0.0,109,0.0,121,34497.90789957473,14529.439495140643,0.0
4-2,2025-02-22,original,0.0,61,0.0,73,0.0,85,121.9782272348488,97,0.0,109,0.0,121,34710.33481576228,14676.444348674617,0.0
4-2,2025-02-23,original,166.6251672957651,61,670.3964646304081,73,0.0,85,625.9305015416398,97,0.0,109,0.0,121,77768.97241744676,51901.4282320597,0.0
4-2,2025-02-24,original,222.52353276925817,61,687.4617988279771,73,0.0,85,611.3772370790848,97,0.0,109,0.0,121,76838.4203901685,51212.70551817439,0.0
4-2,2025-02-25,original,142.70884757016142,61,624.7348300420925,73,0.0,85,608.524168487329,97,0.0,109,0.0,121,75145.2981725659,48918.23091443114,0.0
4-2,2025-02-26,original,53.87546972551968,61,550.1906223035568,73,0.0,85,593.3856033994815,97,0.0,109,0.0,121,71654.84809555284,47323.66794059412,0.0
4-2,2025-02-27,original,9.569570612337884,61,555.9190196566645,73,0.0,85,616.3618201179715,97,0.0,109,0.0,121,72556.46671027225,46438.55910874404,0.0
4-2,2025-02-28,original,0.0,61,0.0,73,0.0,85,108.63504694808597,97,0.0,109,0.0,121,33615.61960710196,13651.74655011995,0.0
4-2,2025-03-01,original,0.0,61,0.0,73,0.0,85,95.20001273242269,97,0.0,109,0.0,121,33700.44255584951,13959.96906062496,0.0
4-2,2025-03-02,original,189.40716388925375,61,537.265699630649,73,27.29326914196804,85,594.5332079441519,97,0.0,109,0.0,121,75928.67008872615,50068.51576539485,0.0
4-2,2025-03-03,original,157.03289939766614,61,669.6220362670321,73,168.24109442331383,85,595.2791004097037,97,0.0,109,0.0,121,76615.41818991271,50992.06375953859,0.0
4-2,2025-03-04,original,247.1669649284803,61,662.1898521061437,73,150.98186263967193,85,638.2064033650116,97,0.0,109,0.0,121,77401.97825419798,51510.08655506399,0.0
4-2,2025-03-05,original,138.91588369758574,61,682.932240723797,73,118.36847593021196,85,630.3922976997233,97,0.0,109,0.0,121,75485.13415327738,49215.86944460463,0.0
4-2,2025-03-06,original,104.38982153727659,61,638.2403051003208,73,68.10086524675694,85,568.7809154148049,97,0.0,109,0.0,121,72753.28481939955,46998.43704381449,0.0
4-2,2025-03-07,original,0.0,61,0.0,73,0.0,85,113.4720109106052,97,0.0,109,0.0,121,32233.78203533692,13019.197989050608,0.0
4-2,2025-03-08,original,0.0,61,0.0,73,0.0,85,125.10191877250179,97,0.0,109,0.0,121,31371.517306597816,12871.62895518358,0.0
4-2,2025-03-09,original,0.4640934387271045,61,539.4935104153784,73,38.501115864423355,85,577.8470456217606,97,0.0,109,0.0,121,71087.96391808866,44583.968642842505,0.0
4-2,2025-03-10,original,24.838681851660567,61,488.62062143722176,73,0.0,85,539.6746662862982,97,0.0,109,0.0,121,69337.20461343243,45435.41174078502,0.0
4-2,2025-03-11,original,54.78737130585455,61,641.3246437018831,73,0.0,85,532.412478069613,97,0.0,109,0.0,121,71968.39029443194,45624.86935151684,0.0
4-2,2025-03-12,original,0.0,61,572.5691554088256,73,0.0,85,582.0288346247083,97,0.0,109,0.0,121,70047.90522868706,44048.84923496739,0.0
4-2,2025-03-13,original,0.0,61,541.2294724185782,73,0.0,85,584.1671107863242,97,0.0,109,0.0,121,69206.39970077273,44274.86406296633,0.0
