branch,issue_hour,month,event_count,position_count,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_forecast_minus_actual,peak_threshold_yuan_per_kwh,peak_mae_yuan_per_kwh,max_absolute_error_yuan_per_kwh,forecast_floor_trigger_rate,fallback_event_count
4-2,0,2,28,4032,0.05204530515487453,0.0743078442672178,0.01609691036625964,1.24905,0.08010193867003047,0.34247405245941764,0.0,0
4-2,0,3,31,4464,0.04158507764722597,0.057037231162549294,-0.0019511384720116024,1.24905,0.02364573976757629,0.26531278564943483,0.0,0
4-2,0,4,30,4320,0.042949095321107536,0.05819957165274666,-0.0054121422752923766,1.24905,0.025470734872435504,0.26939802431291343,0.0,0
4-2,0,5,31,4464,0.04472773873596858,0.05878650634747391,-0.0006156131696438848,1.24905,0.04806124842139385,0.2796322906023977,0.0,0
4-2,0,6,30,4320,0.05323528210087586,0.0696538796709878,0.0051450725078040615,1.24905,0.10388333066346128,0.2736046145663693,0.0,0
4-2,0,7,31,4464,0.05854938729374111,0.08322369866104325,-0.02755853068170515,1.24905,0.12211638788767198,0.4763614318647065,0.0,0
4-2,0,8,31,4464,0.04848852448555939,0.0656906634763607,-0.004980271421564207,1.24905,0.07232174813969777,0.26872653828934423,0.0,0
4-2,0,9,30,4320,0.06598901967348902,0.09102075811687532,0.024547620378998113,1.24905,0.17192149783868016,0.46311656462402406,0.0,0
4-2,0,10,31,4464,0.04853644043271377,0.06234831994220794,0.004914911721860574,1.24905,0.09438422979735835,0.2525902506041835,0.0,0
4-2,0,11,30,4320,0.04676159849397063,0.060073109254148035,0.006638120182125989,1.24905,0.08292191770876936,0.20047060721158783,0.0,0
4-2,0,12,31,4464,0.052163234697378005,0.07546720197639481,-0.015443417027629948,1.24905,0.08900087381093136,0.3688469146187563,0.0,0
4-2,6,2,28,4032,0.05814786370287833,0.08223728691918038,0.03104556178214853,1.24905,0.08732971045343828,0.3041449043085438,0.0,0
4-2,6,3,31,4464,0.045830727106132216,0.06231550652482229,0.0052109419704029734,1.24905,0.025254113063842613,0.2817174489584958,0.0,0
4-2,6,4,30,4320,0.044319284856086175,0.05976165352480959,-0.003150025561570787,1.24905,0.025992900147441038,0.26703995145913734,0.0,0
4-2,6,5,31,4464,0.04719457080363135,0.06211216620763045,-0.012484185240703405,1.24905,0.039128050661144,0.2809277092705676,0.0,0
4-2,6,6,30,4320,0.05963412746109809,0.07713094898177404,-0.02174929783822397,1.24905,0.07791050309281979,0.30604194806582863,0.0,0
4-2,6,7,31,4464,0.060307414773994775,0.0845087756441554,-0.02663223877392124,1.24905,0.12087184088118626,0.4398951627815546,0.0,0
4-2,6,8,31,4464,0.0533208709458991,0.07086118330521987,0.013104886728079143,1.24905,0.07655553416242543,0.29853484204130765,0.0,0
