stage,candidate,branch,event_count,position_count,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_forecast_minus_actual,selected
level_model_selection,ar,4-2,17,2448,0.08070416969907478,0.10742147694494972,0.008391848751825633,False
level_model_selection,ar,4-3,17,2448,0.08070416969907478,0.10742147694494972,0.008391848751825633,False
level_model_selection,ar,two_branch_average,34,4896,0.08070416969907478,0.10742147694494972,0.008391848751825633,False
level_model_selection,net,4-2,17,2448,0.03779542615361853,0.0498114320792172,-0.0026429276092687325,True
level_model_selection,net,4-3,17,2448,0.0375021414301912,0.049520053673161174,-0.0034221893219646645,True
level_model_selection,net,two_branch_average,34,4896,0.037648783791904866,0.04966574287618919,-0.0030325584656166983,True
intraday_rho_selection,0.0,4-2,81,11664,0.05074147059477352,0.06965500532170049,-0.0027945052875527725,False
intraday_rho_selection,0.0,4-3,81,11664,0.05061726071791989,0.06954114923980248,-0.0028019642871867593,False
intraday_rho_selection,0.0,two_branch_average,162,23328,0.0506793656563467,0.06959807728075149,-0.002798234787369766,False
intraday_rho_selection,0.5,4-2,81,11664,0.0494053695969924,0.06768840738803335,-0.002610966315145139,False
intraday_rho_selection,0.5,4-3,81,11664,0.049288585784748595,0.06757710796249837,-0.0026208447952385853,False
intraday_rho_selection,0.5,two_branch_average,162,23328,0.0493469776908705,0.06763275767526586,-0.002615905555191862,False
intraday_rho_selection,0.8,4-2,81,11664,0.04733771068199198,0.06431025824814839,-0.002030591740073508,False
intraday_rho_selection,0.8,4-3,81,11664,0.04724177406536095,0.06421274611711174,-0.0020478623486443973,False
intraday_rho_selection,0.8,two_branch_average,162,23328,0.04728974237367647,0.06426150218263006,-0.0020392270443589525,False
intraday_rho_selection,0.95,4-2,81,11664,0.046539702167290455,0.06276679325313965,-0.00054800581693569,True
intraday_rho_selection,0.95,4-3,81,11664,0.046474912709509666,0.06269957380552146,-0.0005873212558193907,True
intraday_rho_selection,0.95,two_branch_average,162,23328,0.046507307438400064,0.06273318352933055,-0.0005676635363775403,True
