branch,template_row_date,template_column,template_header_physical_interval,physical_date,physical_t,physical_interval,price,price_role,g0_kwh,geff_kwh,adjustment_surcharge_yuan
4-2,2025-02-01,2,0:10-0:20,2025-02-01,2,0:10-0:20,0.3257,realized,1282.7429509449698,1282.7429509449698,0.0
4-2,2025-02-01,3,0:20-0:30,2025-02-01,3,0:20-0:30,0.3041,realized,1272.5647362577877,1272.5647362577877,0.0
4-2,2025-02-01,4,0:30-0:40,2025-02-01,4,0:30-0:40,0.3126,realized,1254.6056735110074,1254.6056735110074,0.0
4-2,2025-02-01,5,0:40-0:50,2025-02-01,5,0:40-0:50,0.3286,realized,591.1047116915842,591.1047116915842,0.0
4-2,2025-02-01,6,0:50-1:00,2025-02-01,6,0:50-1:00,0.3438,realized,491.62119352134596,491.62119352134596,0.0
4-2,2025-02-01,7,1:00-1:10,2025-02-01,7,1:00-1:10,0.3704,realized,497.11868196781535,497.11868196781535,0.0
4-2,2025-02-01,8,1:10-1:20,2025-02-01,8,1:10-1:20,0.3746,realized,489.4529101416239,489.4529101416239,0.0
4-2,2025-02-01,9,1:20-1:30,2025-02-01,9,1:20-1:30,0.3606,realized,463.819750085014,463.819750085014,0.0
4-2,2025-02-01,10,1:30-1:40,2025-02-01,10,1:30-1:40,0.3582,realized,486.8193137457606,486.8193137457606,0.0
4-2,2025-02-01,11,1:40-1:50,2025-02-01,11,1:40-1:50,0.3041,realized,524.3135651473538,524.3135651473538,0.0
4-2,2025-02-01,12,1:50-2:00,2025-02-01,12,1:50-2:00,0.2537,realized,1268.3296650902703,1268.3296650902703,0.0
4-2,2025-02-01,13,2:00-2:10,2025-02-01,13,2:00-2:10,0.3346,realized,495.38694212419,495.38694212419,0.0
4-2,2025-02-01,14,2:10-2:20,2025-02-01,14,2:10-2:20,0.3971,realized,452.8691970284866,452.8691970284866,0.0
4-2,2025-02-01,15,2:20-2:30,2025-02-01,15,2:20-2:30,0.367,realized,492.78419587684544,492.78419587684544,0.0
4-2,2025-02-01,16,2:30-2:40,2025-02-01,16,2:30-2:40,0.3185,realized,501.80712105951847,501.80712105951847,0.0
4-2,2025-02-01,17,2:40-2:50,2025-02-01,17,2:40-2:50,0.3285,realized,517.9860004265278,517.9860004265278,0.0
4-2,2025-02-01,18,2:50-3:00,2025-02-01,18,2:50-3:00,0.3772,realized,544.4315608075459,544.4315608075459,0.0
4-2,2025-02-01,19,3:00-3:10,2025-02-01,19,3:00-3:10,0.3815,realized,536.2801634036603,536.2801634036603,0.0
4-2,2025-02-01,20,3:10-3:20,2025-02-01,20,3:10-3:20,0.3822,realized,533.8780881621815,533.8780881621815,0.0
4-2,2025-02-01,21,3:20-3:30,2025-02-01,21,3:20-3:30,0.3962,realized,527.6246795499198,527.6246795499198,0.0
4-2,2025-02-01,22,3:30-3:40,2025-02-01,22,3:30-3:40,0.3879,realized,512.2881506291478,512.2881506291478,0.0
4-2,2025-02-01,23,3:40-3:50,2025-02-01,23,3:40-3:50,0.3405,realized,496.4357634203126,496.4357634203126,0.0
4-2,2025-02-01,24,3:50-4:00,2025-02-01,24,3:50-4:00,0.3164,realized,524.3925527308227,524.3925527308227,0.0
4-2,2025-02-01,25,4:00-4:10,2025-02-01,25,4:00-4:10,0.3916,realized,556.1988586552981,556.1988586552981,0.0
4-2,2025-02-01,26,4:10-4:20,2025-02-01,26,4:10-4:20,0.4109,realized,554.9820532261472,554.9820532261472,0.0
4-2,2025-02-01,27,4:20-4:30,2025-02-01,27,4:20-4:30,0.361,realized,524.8977775116313,524.8977775116313,0.0
4-2,2025-02-01,28,4:30-4:40,2025-02-01,28,4:30-4:40,0.3799,realized,524.1610646299276,524.1610646299276,0.0
4-2,2025-02-01,29,4:40-4:50,2025-02-01,29,4:40-4:50,0.4094,realized,534.5376296349261,534.5376296349261,0.0
4-2,2025-02-01,30,4:50-5:00,2025-02-01,30,4:50-5:00,0.4052,realized,489.6274480988975,489.6274480988975,0.0
